,LIRF,LTFM,OMDB,ZSPD,MMMX,EDDF,LEMD,CYYZ,EDDT,SBGL,VIDP,KJFK,EDDM,SAEZ,ZBAA,LFPG,CYVR,RJAA,EHEH,BIKF,LPPT,FACT,LFQQ,LDZA,EBBR,LKPR,EFRO,ESSA,EIDW,EFHK,EETN,LGAV,EGPH
VIDP,5933.755490675376,4566.047060442222,2183.190603769457,4292.294164011961,14662.708439597296,6121.185112535329,7255.328214906565,11639.223104050201,5785.915771305621,14063.511167522962,0.0,11754.94829850792,5899.979912189503,15794.490572393017,3811.22316900493,6565.92854943909,11138.384837166739,5909.250123279566,6331.400341379829,7593.777972803409,7767.803301105655,9282.845350520629,6501.080434257892,5589.209484397878,6399.817544030502,5714.970423703678,5439.118104243794,5583.875141564338,7074.36258815461,5223.847444426262,5200.6264450305825,4983.851376266188,6836.246415386642
KJFK,6867.05238818525,8027.011333646928,11000.82939708662,11872.965768605623,3365.6070797424704,6189.1542734461045,5762.025471470951,587.4088954268707,6367.419669376641,7729.093708099038,11754.94829850792,0.0,6480.773715334404,8534.711892841717,10977.61138682235,5833.386425117882,3929.667087827683,10829.468019943439,5920.872953839785,4197.785190963327,5404.309620041176,12560.803274067739,5807.873795019511,6905.329783235579,5885.3697807968165,6550.828678253268,6318.434484589655,6291.593874633475,5102.730002183939,6606.914800539541,6649.356410602336,7932.455806289573,5224.818687727301
EDDM,732.5545180372009,1547.9829132915345,4563.68638327735,8778.291229474024,9844.86446381779,299.0736493547062,1496.9693797182808,6639.638079367699,479.5750967765883,9616.447470619587,5899.979912189503,6480.773715334404,0.0,11571.029543749757,7721.985707506109,681.5692933331298,8340.059905344417,9366.60393351221,573.3926461914037,2669.2628149565803,1983.6079398270863,9179.18835595483,673.6101624423094,435.372805823521,596.828250612871,264.80111614065527,2179.5591456309016,1317.3110466843007,1381.2860601870107,1574.5399279099283,1491.5970050572942,1517.8783303811158,1330.3366233869128
SAEZ,11152.64657458875,12266.824206187948,13675.498953376862,19605.48726466171,7396.77973611544,11502.137750607373,10084.891062660701,8985.871186138354,11933.024922521272,1995.428353470573,15794.490572393017,8534.711892841717,11571.029543749757,0.0,19289.70928642004,11100.067083107158,11306.011894863244,18297.19994521465,11430.931607617464,11460.844970957083,9632.30052917482,6886.082041979985,11246.712767060582,11662.142744355435,11343.810900959297,11830.92337423204,13282.900559270385,12598.548940741373,11025.405820274522,12981.387744901565,12932.640473630083,11725.05562218717,11358.623493704585
ZBAA,8150.518949275133,7061.75886204329,5846.428408163956,1098.8391881220052,12435.185662210233,7788.395209245619,9206.378510653298,10560.263711728265,7357.370941408385,17318.624718116444,3811.22316900493,10977.61138682235,7721.985707506109,19289.70928642004,0.0,8189.724353071151,8491.592942617246,2133.3180240322217,7858.784279958065,7870.884193010363,9657.682879314776,12967.734897763023,8042.99692176469,7637.516242212898,7945.907748157385,7461.550939385754,6013.908578937793,6691.864080722933,8268.747197889683,6308.537771925007,6357.094712899396,7607.430542904929,7936.25672217657
LFPG,1103.018721080239,2213.88650722904,5238.30373722851,9266.538821703734,9198.923534624388,449.00506895345995,1064.514287652328,6018.511701618143,850.4974971095637,9184.123131785209,6565.92854943909,5833.386425117882,681.5692933331298,11100.067083107158,8189.724353071151,0.0,7924.983796384183,9709.31227814645,337.5067385741307,2225.1176543641695,1469.9632862919395,9363.399547331674,177.29972762352907,1079.12295434704,251.42649654422516,852.6058359792816,2358.800861619531,1539.1555178390888,784.9693369031335,1895.5582344575273,1837.8392888325443,2108.8935232724316,868.6768639079258
CYVR,9002.229875705996,9588.351242168645,11735.171711494506,9016.027042522252,3944.571933641011,8062.180754267541,8426.398460222947,3346.065262820104,7979.429067098594,11212.325649046332,11138.384837166739,3929.667087827683,8340.059905344417,11306.011894863244,8491.592942617246,7924.983796384183,0.0,7503.3643827802725,7809.899033180775,5701.731716788582,8288.503867714651,16465.20953208748,7804.029472119836,8746.620493868128,7827.183480204533,8252.779547259795,6878.634761429539,7411.6744673739295,7164.329817709851,7505.149627195536,7595.2331088364135,9800.56504320369,7067.373027293543
RJAA,9907.71324590243,8980.31098908937,7978.6421393820765,1795.1653470701212,11253.545374395047,9366.014476753255,10771.365389773611,10299.375959386833,8941.163890156917,18531.195791108297,5909.250123279566,10829.468019943439,9366.60393351221,18297.19994521465,2133.3180240322217,9709.31227814645,7503.3643827802725,0.0,9372.118080501896,8798.321608971684,11153.913596141403,14780.473523154042,9543.069153437295,9373.225157229546,9457.890709909856,9102.009097801203,7370.85294938375,8170.395509786672,9590.00408587783,7828.74735963798,7898.436176812024,9532.669034889863,9254.53199963534
EHEH,1195.6116672542362,2107.001771303601,5102.345397401615,8938.065932826861,9282.302300217629,274.34672759363383,1400.4404453661639,6069.742465228985,554.9586303035887,9519.607478719365,6331.400341379829,5920.872953839785,573.3926461914037,11430.931607617464,7858.784279958065,337.5067385741307,7809.899033180775,9372.118080501896,0.0,2117.6234281227908,1804.6765643174188,9586.034315842975,187.09147772320674,1008.7302268245519,87.26507901126318,642.0340692834425,2026.9394149057935,1201.790094986564,818.4419646564614,1559.3618854820566,1503.538739642221,2089.016063229445,761.9890447440483
BIKF,3302.877772645817,4087.246738830808,6885.950773003389,8956.580903846041,7447.576134836068,2379.55963806095,2888.0069315874402,4202.689344520942,2379.1423258300797,9842.304164811861,7593.777972803409,4197.785190963327,2669.2628149565803,11460.844970957083,7870.884193010363,2225.1176543641695,5701.731716788582,8798.321608971684,2117.6234281227908,0.0,2942.307926147029,11472.045420118653,2102.4846976713584,3094.6660800724226,2128.9170434945413,2628.101221542469,2177.0499490729367,2109.0743457943413,1486.395041095137,2409.583253800543,2454.7484880957145,4176.891888856657,1366.1622281126076
