,LIMC,LFPG,ZSPD,LEMD,RJAA,SAEZ,KJFK,CYYZ,SBGL,MMMX,EDDM,OMDB,EDDT,EDDF,CYVR,VIDP,LTFM,ZBAA,EBBR,EFRO,EGPH,EFHK,LKPR,LFQQ,BIKF,LDZA,ESSA,EIDW,LGAV,FACT,EHEH,LPPT,EETN
EDDM,382.4534017470018,681.5692933331298,8778.291229474024,1496.9693797182808,9366.60393351221,11571.029543749757,6480.773715334404,6639.638079367699,9616.447470619587,9844.86446381779,0.0,4563.68638327735,479.5750967765883,299.0736493547062,8340.059905344417,5899.979912189503,1547.9829132915345,7721.985707506109,596.828250612871,2179.5591456309016,1330.3366233869128,1574.5399279099283,264.80111614065527,673.6101624423094,2669.2628149565803,435.372805823521,1317.3110466843007,1381.2860601870107,1517.8783303811158,9179.18835595483,573.3926461914037,1983.6079398270863,1491.5970050572942
OMDB,4708.190352626581,5238.30373722851,6448.573340149029,5648.573067280119,7978.6421393820765,13675.498953376862,11000.82939708662,11080.592571500489,11884.360300095565,14328.390980757462,4563.68638327735,0.0,4634.536188630778,4842.872064752151,11735.171711494506,2183.190603769457,3027.9011773987722,5846.428408163956,5147.156165772344,5027.306459147683,5776.784700011543,4537.025110362885,4463.278821580964,5233.556863398388,6885.950773003389,4162.586440529364,4784.718435844448,5918.191105076748,3271.3092464029237,7644.498781549268,5102.345397401615,6137.549256169119,4471.733222742804
EDDT,839.4229173232067,850.4974971095637,8428.152127029933,1853.640992836451,8941.163890156917,11933.024922521272,6367.419669376641,6477.895440186134,9999.899573136834,9713.650891230824,479.5750967765883,4634.536188630778,0.0,431.6826244968808,7979.429067098594,5785.915771305621,1712.5684114372132,7357.370941408385,633.1798423077714,1701.8548750228817,1142.604257606154,1118.8430222369009,281.576913555292,737.3544487142678,2379.1423258300797,784.5721209488278,838.7723740907484,1308.440821698761,1823.2230335509435,9635.66209352229,554.9586303035887,2302.6857424820937,1043.7146044590377
EDDF,490.1396104415254,449.00506895345995,8857.834873324387,1422.050572145159,9366.014476753255,11502.137750607373,6189.1542734461045,6342.662219553331,9568.283601551813,9551.980932636412,299.0736493547062,4842.872064752151,431.6826244968808,0.0,8062.180754267541,6121.185112535329,1837.858012568955,7788.395209245619,304.70667836915743,2079.668281738598,1032.8584656977316,1537.9389925099097,406.27801971921986,392.7983156454291,2379.55963806095,734.44155732098,1222.987175365273,1086.8940196113897,1815.8370182307754,9393.055953949077,274.34672759363383,1873.84706028188,1467.8755620952131
CYVR,8490.289487372997,7924.983796384183,9016.027042522252,8426.398460222947,7503.3643827802725,11306.011894863244,3929.667087827683,3346.065262820104,11212.325649046332,3944.571933641011,8340.059905344417,11735.171711494506,7979.429067098594,8062.180754267541,0.0,11138.384837166739,9588.351242168645,8491.592942617246,7827.183480204533,6878.634761429539,7067.373027293543,7505.149627195536,8252.779547259795,7804.029472119836,5701.731716788582,8746.620493868128,7411.6744673739295,7164.329817709851,9800.56504320369,16465.20953208748,7809.899033180775,8288.503867714651,7595.2331088364135
VIDP,6159.502244229665,6565.92854943909,4292.294164011961,7255.328214906565,5909.250123279566,15794.490572393017,11754.94829850792,11639.223104050201,14063.511167522962,14662.708439597296,5899.979912189503,2183.190603769457,5785.915771305621,6121.185112535329,11138.384837166739,0.0,4566.047060442222,3811.22316900493,6399.817544030502,5439.118104243794,6836.246415386642,5223.847444426262,5714.970423703678,6501.080434257892,7593.777972803409,5589.209484397878,5583.875141564338,7074.36258815461,4983.851376266188,9282.845350520629,6331.400341379829,7767.803301105655,5200.6264450305825
LTFM,1683.3050965704033,2213.88650722904,8021.792958328303,2702.2488319417575,8980.31098908937,12266.824206187948,8027.011333646928,8171.274964889148,10271.767959942494,11389.29648462006,1547.9829132915345,3027.9011773987722,1712.5684114372132,1837.858012568955,9588.351242168645,4566.047060442222,0.0,7061.75886204329,2141.818322400416,2818.8505107888336,2830.767342771072,2134.8799157182702,1489.3589955451396,2221.5840343980844,4087.246738830808,1135.558870168953,2177.481833179683,2924.4683551417634,552.3631359390542,8429.362191332484,2107.001771303601,3211.7174335800105,2037.0282863908224
ZBAA,8094.086522767396,8189.724353071151,1098.8391881220052,9206.378510653298,2133.3180240322217,19289.70928642004,10977.61138682235,10560.263711728265,17318.624718116444,12435.185662210233,7721.985707506109,5846.428408163956,7357.370941408385,7788.395209245619,8491.592942617246,3811.22316900493,7061.75886204329,0.0,7945.907748157385,6013.908578937793,7936.25672217657,6308.537771925007,7461.550939385754,8042.99692176469,7870.884193010363,7637.516242212898,6691.864080722933,8268.747197889683,7607.430542904929,12967.734897763023,7858.784279958065,9657.682879314776,6357.094712899396
EBBR,664.3952506566018,251.42649654422516,9024.973770238224,1315.552739483112,9457.890709909856,11343.810900959297,5885.3697807968165,6043.2341631455665,9432.38980302497,9248.791253224706,596.828250612871,5147.156165772344,633.1798423077714,304.70667836915743,7827.183480204533,6399.817544030502,2141.818322400416,7945.907748157385,0.0,2109.419990192777,764.8529460052239,1646.5424706420476,696.6701556393344,104.17464565809286,2128.9170434945413,1028.9384999379752,1287.8123921554281,784.4652218415466,2101.487122926399,9538.261583682088,87.26507901126318,1717.441913766903,1590.7996147657782
EFRO,2538.132936085888,2358.800861619531,7111.796723483437,3422.0000222935455,7370.85294938375,13282.900559270385,6318.434484589655,6243.416783834656,11451.376242794004,9429.19591909452,2179.5591456309016,5027.306459147683,1701.8548750228817,2079.668281738598,6878.634761429539,5439.118104243794,2818.8505107888336,6013.908578937793,2109.419990192777,0.0,1927.0385770142573,695.2573510545288,1942.94896284112,2186.4196889276245,2177.0499490729367,2385.7771646126907,863.3297003586031,2262.6890021087634,3184.843224387242,11195.351682199891,2026.9394149057935,3783.3341214037023,795.9448462888196
