,LIME,ZSPD,VIDP,LFPG,SAEZ,KJFK,CYVR,OMDB,EDDT,LTFM,EDDM,LEMD,ZBAA,EDDF,CYYZ,SBGL,MMMX,RJAA,EIDW,EGPH,ESSA,LPPT,LDZA,FACT,EBBR,EETN,EHEH,LFQQ,BIKF,LGAV,EFHK,LKPR,EFRO
EDDM,337.8149533285702,8778.291229474024,5899.979912189503,681.5692933331298,11571.029543749757,6480.773715334404,8340.059905344417,4563.68638327735,479.5750967765883,1547.9829132915345,0.0,1496.9693797182808,7721.985707506109,299.0736493547062,6639.638079367699,9616.447470619587,9844.86446381779,9366.60393351221,1381.2860601870107,1330.3366233869128,1317.3110466843007,1983.6079398270863,435.372805823521,9179.18835595483,596.828250612871,1491.5970050572942,573.3926461914037,673.6101624423094,2669.2628149565803,1517.8783303811158,1574.5399279099283,264.80111614065527,2179.5591456309016
LEMD,1220.367427968824,10270.038168674499,7255.328214906565,1064.514287652328,10084.891062660701,5762.025471470951,8426.398460222947,5648.573067280119,1853.640992836451,2702.2488319417575,1496.9693797182808,0.0,9206.378510653298,1422.050572145159,6058.631933989723,8146.258928316377,9066.890918984103,10771.365389773611,1454.225118962622,1721.1421621023853,2601.3493707511634,512.8845584370001,1692.5382745319923,8584.107113717999,1315.552739483112,2883.3149200833927,1400.4404453661639,1235.5813496072453,2888.0069315874402,2377.4313326404604,2947.4320721225527,1750.6615229202562,3422.0000222935455
ZBAA,8032.26904485344,1098.8391881220052,3811.22316900493,8189.724353071151,19289.70928642004,10977.61138682235,8491.592942617246,5846.428408163956,7357.370941408385,7061.75886204329,7721.985707506109,9206.378510653298,0.0,7788.395209245619,10560.263711728265,17318.624718116444,12435.185662210233,2133.3180240322217,8268.747197889683,7936.25672217657,6691.864080722933,9657.682879314776,7637.516242212898,12967.734897763023,7945.907748157385,6357.094712899396,7858.784279958065,8042.99692176469,7870.884193010363,7607.430542904929,6308.537771925007,7461.550939385754,6013.908578937793
EDDF,492.550415734113,8857.834873324387,6121.185112535329,449.00506895345995,11502.137750607373,6189.1542734461045,8062.180754267541,4842.872064752151,431.6826244968808,1837.858012568955,299.0736493547062,1422.050572145159,7788.395209245619,0.0,6342.662219553331,9568.283601551813,9551.980932636412,9366.014476753255,1086.8940196113897,1032.8584656977316,1222.987175365273,1873.84706028188,734.44155732098,9393.055953949077,304.70667836915743,1467.8755620952131,274.34672759363383,392.7983156454291,2379.55963806095,1815.8370182307754,1537.9389925099097,406.27801971921986,2079.668281738598
CYYZ,6671.136708671728,11414.11558758609,11639.223104050201,6018.511701618143,8985.871186138354,587.4088954268707,3346.065262820104,11080.592571500489,6477.895440186134,8171.274964889148,6639.638079367699,6058.631933989723,10560.263711728265,6342.662219553331,0.0,8271.186132408277,3247.890977992751,10299.375959386833,5259.66456365284,5342.430556810266,6311.706893929508,5739.078245285105,7071.777341214486,13136.631844292497,6043.2341631455665,6650.662663103135,6069.742465228985,5973.892370679363,4202.689344520942,8127.399159836934,6598.71606358994,6682.817209516884,6243.416783834656
SBGL,9300.145436141222,18271.284864397905,14063.511167522962,9184.123131785209,1995.428353470573,7729.093708099038,11212.325649046332,11884.360300095565,9999.899573136834,10271.767959942494,9616.447470619587,8146.258928316377,17318.624718116444,9568.283601551813,8271.186132408277,0.0,7665.076602134776,18531.195791108297,9192.749867185408,9529.814395113926,10709.342326685113,7714.979604082941,9684.845164511811,6087.871598998781,9432.38980302497,11021.75343361116,9519.607478719365,9339.141101101264,9842.304164811861,9730.98460712888,11078.85214073269,9879.080082772547,11451.376242794004
MMMX,9842.13188680207,12896.888950685934,14662.708439597296,9198.923534624388,7396.77973611544,3365.6070797424704,3944.571933641011,14328.390980757462,9713.650891230824,11389.29648462006,9844.86446381779,9066.890918984103,12435.185662210233,9551.980932636412,3247.890977992751,7665.076602134776,0.0,11253.545374395047,8465.097546487645,8573.011598267407,9555.32776316363,8664.536583495246,10270.57949825156,13711.343976959879,9248.791253224706,9887.012309094367,9282.302300217629,9172.519686277623,7447.576134836068,11295.07456624003,9830.89999106367,9907.578033808217,9429.19591909452
RJAA,9698.334104120337,1795.1653470701212,5909.250123279566,9709.31227814645,18297.19994521465,10829.468019943439,7503.3643827802725,7978.6421393820765,8941.163890156917,8980.31098908937,9366.60393351221,10771.365389773611,2133.3180240322217,9366.014476753255,10299.375959386833,18531.195791108297,11253.545374395047,0.0,9590.00408587783,9254.53199963534,8170.395509786672,11153.913596141403,9373.225157229546,14780.473523154042,9457.890709909856,7898.436176812024,9372.118080501896,9543.069153437295,8798.321608971684,9532.669034889863,7828.74735963798,9102.009097801203,7370.85294938375
EIDW,1433.663567238871,9364.445984146492,7074.36258815461,784.9693369031335,11025.405820274522,5102.730002183939,7164.329817709851,5918.191105076748,1308.440821698761,2924.4683551417634,1381.2860601870107,1454.225118962622,8268.747197889683,1086.8940196113897,5259.66456365284,9192.749867185408,8465.097546487645,9590.00408587783,0.0,337.2039534199319,1624.7526881721867,1642.4746695558613,1812.1546193462373,10009.776088175524,784.4652218415466,2002.9192181397093,818.4419646564614,715.1697675357511,1486.395041095137,2875.9209801847924,2023.288540062737,1454.9163652752302,2262.6890021087634
EGPH,1461.4919162938756,9032.685343726816,6836.246415386642,868.6768639079258,11358.623493704585,5224.818687727301,7067.373027293543,5776.784700011543,1142.604257606154,2830.767342771072,1330.3366233869128,1721.1421621023853,7936.25672217657,1032.8584656977316,5342.430556810266,9529.814395113926,8573.011598267407,9254.53199963534,337.2039534199319,0.0,1320.2510546542144,1956.1303624433278,1764.554368661314,10213.775685686389,764.8529460052239,1705.517234342453,761.9890447440483,736.7464462666057,1366.1622281126076,2848.2113604641363,1717.6968421996937,1341.4084262122346,1927.0385770142573
