,LIME,RJAA,CYVR,LTFM,ZSPD,ZBAA,KJFK,SAEZ,MMMX,SBGL,VIDP,EDDM,EDDT,OMDB,EDDF,LEMD,CYYZ,LFPG,LKPR,FACT,ESSA,BIKF,LDZA,LGAV,EIDW,EFRO,LPPT,EGPH,EETN,LFQQ,EHEH,EFHK,EBBR
VIDP,6082.706185320692,5909.250123279566,11138.384837166739,4566.047060442222,4292.294164011961,3811.22316900493,11754.94829850792,15794.490572393017,14662.708439597296,14063.511167522962,0.0,5899.979912189503,5785.915771305621,2183.190603769457,6121.185112535329,7255.328214906565,11639.223104050201,6565.92854943909,5714.970423703678,9282.845350520629,5583.875141564338,7593.777972803409,5589.209484397878,4983.851376266188,7074.36258815461,5439.118104243794,7767.803301105655,6836.246415386642,5200.6264450305825,6501.080434257892,6331.400341379829,5223.847444426262,6399.817544030502
EDDM,337.8149533285702,9366.60393351221,8340.059905344417,1547.9829132915345,8778.291229474024,7721.985707506109,6480.773715334404,11571.029543749757,9844.86446381779,9616.447470619587,5899.979912189503,0.0,479.5750967765883,4563.68638327735,299.0736493547062,1496.9693797182808,6639.638079367699,681.5692933331298,264.80111614065527,9179.18835595483,1317.3110466843007,2669.2628149565803,435.372805823521,1517.8783303811158,1381.2860601870107,2179.5591456309016,1983.6079398270863,1330.3366233869128,1491.5970050572942,673.6101624423094,573.3926461914037,1574.5399279099283,596.828250612871
EDDT,809.2271754296073,8941.163890156917,7979.429067098594,1712.5684114372132,8428.152127029933,7357.370941408385,6367.419669376641,11933.024922521272,9713.650891230824,9999.899573136834,5785.915771305621,479.5750967765883,0.0,4634.536188630778,431.6826244968808,1853.640992836451,6477.895440186134,850.4974971095637,281.576913555292,9635.66209352229,838.7723740907484,2379.1423258300797,784.5721209488278,1823.2230335509435,1308.440821698761,1701.8548750228817,2302.6857424820937,1142.604257606154,1043.7146044590377,737.3544487142678,554.9586303035887,1118.8430222369009,633.1798423077714
OMDB,4634.411696551434,7978.6421393820765,11735.171711494506,3027.9011773987722,6448.573340149029,5846.428408163956,11000.82939708662,13675.498953376862,14328.390980757462,11884.360300095565,2183.190603769457,4563.68638327735,4634.536188630778,0.0,4842.872064752151,5648.573067280119,11080.592571500489,5238.30373722851,4463.278821580964,7644.498781549268,4784.718435844448,6885.950773003389,4162.586440529364,3271.3092464029237,5918.191105076748,5027.306459147683,6137.549256169119,5776.784700011543,4471.733222742804,5233.556863398388,5102.345397401615,4537.025110362885,5147.156165772344
EDDF,492.550415734113,9366.014476753255,8062.180754267541,1837.858012568955,8857.834873324387,7788.395209245619,6189.1542734461045,11502.137750607373,9551.980932636412,9568.283601551813,6121.185112535329,299.0736493547062,431.6826244968808,4842.872064752151,0.0,1422.050572145159,6342.662219553331,449.00506895345995,406.27801971921986,9393.055953949077,1222.987175365273,2379.55963806095,734.44155732098,1815.8370182307754,1086.8940196113897,2079.668281738598,1873.84706028188,1032.8584656977316,1467.8755620952131,392.7983156454291,274.34672759363383,1537.9389925099097,304.70667836915743
LEMD,1220.367427968824,10771.365389773611,8426.398460222947,2702.2488319417575,10270.038168674499,9206.378510653298,5762.025471470951,10084.891062660701,9066.890918984103,8146.258928316377,7255.328214906565,1496.9693797182808,1853.640992836451,5648.573067280119,1422.050572145159,0.0,6058.631933989723,1064.514287652328,1750.6615229202562,8584.107113717999,2601.3493707511634,2888.0069315874402,1692.5382745319923,2377.4313326404604,1454.225118962622,3422.0000222935455,512.8845584370001,1721.1421621023853,2883.3149200833927,1235.5813496072453,1400.4404453661639,2947.4320721225527,1315.552739483112
CYYZ,6671.136708671728,10299.375959386833,3346.065262820104,8171.274964889148,11414.11558758609,10560.263711728265,587.4088954268707,8985.871186138354,3247.890977992751,8271.186132408277,11639.223104050201,6639.638079367699,6477.895440186134,11080.592571500489,6342.662219553331,6058.631933989723,0.0,6018.511701618143,6682.817209516884,13136.631844292497,6311.706893929508,4202.689344520942,7071.777341214486,8127.399159836934,5259.66456365284,6243.416783834656,5739.078245285105,5342.430556810266,6650.662663103135,5973.892370679363,6069.742465228985,6598.71606358994,6043.2341631455665
LFPG,654.1798188036887,9709.31227814645,7924.983796384183,2213.88650722904,9266.538821703734,8189.724353071151,5833.386425117882,11100.067083107158,9198.923534624388,9184.123131785209,6565.92854943909,681.5692933331298,850.4974971095637,5238.30373722851,449.00506895345995,1064.514287652328,6018.511701618143,0.0,852.6058359792816,9363.399547331674,1539.1555178390888,2225.1176543641695,1079.12295434704,2108.8935232724316,784.9693369031335,2358.800861619531,1469.9632862919395,868.6768639079258,1837.8392888325443,177.29972762352907,337.5067385741307,1895.5582344575273,251.42649654422516
LKPR,598.695349516173,9102.009097801203,8252.779547259795,1489.3589955451396,8520.514010353765,7461.550939385754,6550.828678253268,11830.92337423204,9907.578033808217,9879.080082772547,5714.970423703678,264.80111614065527,281.576913555292,4463.278821580964,406.27801971921986,1750.6615229202562,6682.817209516884,852.6058359792816,0.0,9358.288777530079,1086.9490092945773,2628.101221542469,503.18469523171706,1555.754332455913,1454.9163652752302,1942.94896284112,2228.9079544309607,1341.4084262122346,1234.036333291913,793.0800262284977,642.0340692834425,1319.6263258874899,696.6701556393344
FACT,8900.787773541293,14780.473523154042,16465.20953208748,8429.362191332484,12989.53522682959,12967.734897763023,12560.803274067739,6886.082041979985,13711.343976959879,6087.871598998781,9282.845350520629,9179.18835595483,9635.66209352229,7644.498781549268,9393.055953949077,8584.107113717999,13136.631844292497,9363.399547331674,9358.288777530079,0.0,10410.637422820557,11472.045420118653,8867.258411800965,8014.8303514408435,10009.776088175524,11195.351682199891,8579.965571388671,10213.775685686389,10399.864784061421,9522.742717702058,9586.034315842975,10500.580656352362,9538.261583682088
