,LIMC,ZSPD,VIDP,CYVR,SBGL,KJFK,LEMD,RJAA,CYYZ,SAEZ,ZBAA,LTFM,OMDB,EDDT,LFPG,EDDF,MMMX,EDDM,LDZA,EGPH,BIKF,ESSA,LKPR,LFQQ,EBBR,EIDW,LGAV,EFHK,EETN,EHEH,FACT,LPPT,EFRO
ZBAA,8094.086522767396,1098.8391881220052,3811.22316900493,8491.592942617246,17318.624718116444,10977.61138682235,9206.378510653298,2133.3180240322217,10560.263711728265,19289.70928642004,0.0,7061.75886204329,5846.428408163956,7357.370941408385,8189.724353071151,7788.395209245619,12435.185662210233,7721.985707506109,7637.516242212898,7936.25672217657,7870.884193010363,6691.864080722933,7461.550939385754,8042.99692176469,7945.907748157385,8268.747197889683,7607.430542904929,6308.537771925007,6357.094712899396,7858.784279958065,12967.734897763023,9657.682879314776,6013.908578937793
LTFM,1683.3050965704033,8021.792958328303,4566.047060442222,9588.351242168645,10271.767959942494,8027.011333646928,2702.2488319417575,8980.31098908937,8171.274964889148,12266.824206187948,7061.75886204329,0.0,3027.9011773987722,1712.5684114372132,2213.88650722904,1837.858012568955,11389.29648462006,1547.9829132915345,1135.558870168953,2830.767342771072,4087.246738830808,2177.481833179683,1489.3589955451396,2221.5840343980844,2141.818322400416,2924.4683551417634,552.3631359390542,2134.8799157182702,2037.0282863908224,2107.001771303601,8429.362191332484,3211.7174335800105,2818.8505107888336
OMDB,4708.190352626581,6448.573340149029,2183.190603769457,11735.171711494506,11884.360300095565,11000.82939708662,5648.573067280119,7978.6421393820765,11080.592571500489,13675.498953376862,5846.428408163956,3027.9011773987722,0.0,4634.536188630778,5238.30373722851,4842.872064752151,14328.390980757462,4563.68638327735,4162.586440529364,5776.784700011543,6885.950773003389,4784.718435844448,4463.278821580964,5233.556863398388,5147.156165772344,5918.191105076748,3271.3092464029237,4537.025110362885,4471.733222742804,5102.345397401615,7644.498781549268,6137.549256169119,5027.306459147683
EDDT,839.4229173232067,8428.152127029933,5785.915771305621,7979.429067098594,9999.899573136834,6367.419669376641,1853.640992836451,8941.163890156917,6477.895440186134,11933.024922521272,7357.370941408385,1712.5684114372132,4634.536188630778,0.0,850.4974971095637,431.6826244968808,9713.650891230824,479.5750967765883,784.5721209488278,1142.604257606154,2379.1423258300797,838.7723740907484,281.576913555292,737.3544487142678,633.1798423077714,1308.440821698761,1823.2230335509435,1118.8430222369009,1043.7146044590377,554.9586303035887,9635.66209352229,2302.6857424820937,1701.8548750228817
LFPG,597.647227692862,9266.538821703734,6565.92854943909,7924.983796384183,9184.123131785209,5833.386425117882,1064.514287652328,9709.31227814645,6018.511701618143,11100.067083107158,8189.724353071151,2213.88650722904,5238.30373722851,850.4974971095637,0.0,449.00506895345995,9198.923534624388,681.5692933331298,1079.12295434704,868.6768639079258,2225.1176543641695,1539.1555178390888,852.6058359792816,177.29972762352907,251.42649654422516,784.9693369031335,2108.8935232724316,1895.5582344575273,1837.8392888325443,337.5067385741307,9363.399547331674,1469.9632862919395,2358.800861619531
EDDF,490.1396104415254,8857.834873324387,6121.185112535329,8062.180754267541,9568.283601551813,6189.1542734461045,1422.050572145159,9366.014476753255,6342.662219553331,11502.137750607373,7788.395209245619,1837.858012568955,4842.872064752151,431.6826244968808,449.00506895345995,0.0,9551.980932636412,299.0736493547062,734.44155732098,1032.8584656977316,2379.55963806095,1222.987175365273,406.27801971921986,392.7983156454291,304.70667836915743,1086.8940196113897,1815.8370182307754,1537.9389925099097,1467.8755620952131,274.34672759363383,9393.055953949077,1873.84706028188,2079.668281738598
MMMX,9775.445770070051,12896.888950685934,14662.708439597296,3944.571933641011,7665.076602134776,3365.6070797424704,9066.890918984103,11253.545374395047,3247.890977992751,7396.77973611544,12435.185662210233,11389.29648462006,14328.390980757462,9713.650891230824,9198.923534624388,9551.980932636412,0.0,9844.86446381779,10270.57949825156,8573.011598267407,7447.576134836068,9555.32776316363,9907.578033808217,9172.519686277623,9248.791253224706,8465.097546487645,11295.07456624003,9830.89999106367,9887.012309094367,9282.302300217629,13711.343976959879,8664.536583495246,9429.19591909452
EDDM,382.4534017470018,8778.291229474024,5899.979912189503,8340.059905344417,9616.447470619587,6480.773715334404,1496.9693797182808,9366.60393351221,6639.638079367699,11571.029543749757,7721.985707506109,1547.9829132915345,4563.68638327735,479.5750967765883,681.5692933331298,299.0736493547062,9844.86446381779,0.0,435.372805823521,1330.3366233869128,2669.2628149565803,1317.3110466843007,264.80111614065527,673.6101624423094,596.828250612871,1381.2860601870107,1517.8783303811158,1574.5399279099283,1491.5970050572942,573.3926461914037,9179.18835595483,1983.6079398270863,2179.5591456309016
LDZA,571.2976495991094,8670.244773563427,5589.209484397878,8746.620493868128,9684.845164511811,6905.329783235579,1692.5382745319923,9373.225157229546,7071.777341214486,11662.142744355435,7637.516242212898,1135.558870168953,4162.586440529364,784.5721209488278,1079.12295434704,734.44155732098,10270.57949825156,435.372805823521,0.0,1764.554368661314,3094.6660800724226,1551.7236859844388,503.18469523171706,1099.1833149167103,1028.9384999379752,1812.1546193462373,1084.793589115557,1722.928893753889,1628.0765988832688,1008.7302268245519,8867.258411800965,2202.428641890457,2385.7771646126907
EGPH,1423.7549912527588,9032.685343726816,6836.246415386642,7067.373027293543,9529.814395113926,5224.818687727301,1721.1421621023853,9254.53199963534,5342.430556810266,11358.623493704585,7936.25672217657,2830.767342771072,5776.784700011543,1142.604257606154,868.6768639079258,1032.8584656977316,8573.011598267407,1330.3366233869128,1764.554368661314,0.0,1366.1622281126076,1320.2510546542144,1341.4084262122346,736.7464462666057,764.8529460052239,337.2039534199319,2848.2113604641363,1717.6968421996937,1705.517234342453,761.9890447440483,10213.775685686389,1956.1303624433278,1927.0385770142573
