,LIMC,SBGL,EDDF,LEMD,CYYZ,CYVR,EDDT,VIDP,SAEZ,KJFK,LTFM,OMDB,ZBAA,LFPG,ZSPD,EDDM,MMMX,RJAA,EGPH,ESSA,LFQQ,BIKF,LDZA,LGAV,EFRO,LKPR,LPPT,EFHK,EBBR,EHEH,EETN,FACT,EIDW
LTFM,1683.3050965704033,10271.767959942494,1837.858012568955,2702.2488319417575,8171.274964889148,9588.351242168645,1712.5684114372132,4566.047060442222,12266.824206187948,8027.011333646928,0.0,3027.9011773987722,7061.75886204329,2213.88650722904,8021.792958328303,1547.9829132915345,11389.29648462006,8980.31098908937,2830.767342771072,2177.481833179683,2221.5840343980844,4087.246738830808,1135.558870168953,552.3631359390542,2818.8505107888336,1489.3589955451396,3211.7174335800105,2134.8799157182702,2141.818322400416,2107.001771303601,2037.0282863908224,8429.362191332484,2924.4683551417634
OMDB,4708.190352626581,11884.360300095565,4842.872064752151,5648.573067280119,11080.592571500489,11735.171711494506,4634.536188630778,2183.190603769457,13675.498953376862,11000.82939708662,3027.9011773987722,0.0,5846.428408163956,5238.30373722851,6448.573340149029,4563.68638327735,14328.390980757462,7978.6421393820765,5776.784700011543,4784.718435844448,5233.556863398388,6885.950773003389,4162.586440529364,3271.3092464029237,5027.306459147683,4463.278821580964,6137.549256169119,4537.025110362885,5147.156165772344,5102.345397401615,4471.733222742804,7644.498781549268,5918.191105076748
ZBAA,8094.086522767396,17318.624718116444,7788.395209245619,9206.378510653298,10560.263711728265,8491.592942617246,7357.370941408385,3811.22316900493,19289.70928642004,10977.61138682235,7061.75886204329,5846.428408163956,0.0,8189.724353071151,1098.8391881220052,7721.985707506109,12435.185662210233,2133.3180240322217,7936.25672217657,6691.864080722933,8042.99692176469,7870.884193010363,7637.516242212898,7607.430542904929,6013.908578937793,7461.550939385754,9657.682879314776,6308.537771925007,7945.907748157385,7858.784279958065,6357.094712899396,12967.734897763023,8268.747197889683
LFPG,597.647227692862,9184.123131785209,449.00506895345995,1064.514287652328,6018.511701618143,7924.983796384183,850.4974971095637,6565.92854943909,11100.067083107158,5833.386425117882,2213.88650722904,5238.30373722851,8189.724353071151,0.0,9266.538821703734,681.5692933331298,9198.923534624388,9709.31227814645,868.6768639079258,1539.1555178390888,177.29972762352907,2225.1176543641695,1079.12295434704,2108.8935232724316,2358.800861619531,852.6058359792816,1469.9632862919395,1895.5582344575273,251.42649654422516,337.5067385741307,1837.8392888325443,9363.399547331674,784.9693369031335
ZSPD,9145.462921839513,18271.284864397905,8857.834873324387,10270.038168674499,11414.11558758609,9016.027042522252,8428.152127029933,4292.294164011961,19605.48726466171,11872.965768605623,8021.792958328303,6448.573340149029,1098.8391881220052,9266.538821703734,0.0,8778.291229474024,12896.888950685934,1795.1653470701212,9032.685343726816,7780.26414951412,9123.256093925884,8956.580903846041,8670.244773563427,8557.446927892031,7111.796723483437,8520.514010353765,10730.78496714352,7393.997300475772,9024.973770238224,8938.065932826861,7439.701976930367,12989.53522682959,9364.445984146492
EDDM,382.4534017470018,9616.447470619587,299.0736493547062,1496.9693797182808,6639.638079367699,8340.059905344417,479.5750967765883,5899.979912189503,11571.029543749757,6480.773715334404,1547.9829132915345,4563.68638327735,7721.985707506109,681.5692933331298,8778.291229474024,0.0,9844.86446381779,9366.60393351221,1330.3366233869128,1317.3110466843007,673.6101624423094,2669.2628149565803,435.372805823521,1517.8783303811158,2179.5591456309016,264.80111614065527,1983.6079398270863,1574.5399279099283,596.828250612871,573.3926461914037,1491.5970050572942,9179.18835595483,1381.2860601870107
MMMX,9775.445770070051,7665.076602134776,9551.980932636412,9066.890918984103,3247.890977992751,3944.571933641011,9713.650891230824,14662.708439597296,7396.77973611544,3365.6070797424704,11389.29648462006,14328.390980757462,12435.185662210233,9198.923534624388,12896.888950685934,9844.86446381779,0.0,11253.545374395047,8573.011598267407,9555.32776316363,9172.519686277623,7447.576134836068,10270.57949825156,11295.07456624003,9429.19591909452,9907.578033808217,8664.536583495246,9830.89999106367,9248.791253224706,9282.302300217629,9887.012309094367,13711.343976959879,8465.097546487645
RJAA,9749.009266937597,18531.195791108297,9366.014476753255,10771.365389773611,10299.375959386833,7503.3643827802725,8941.163890156917,5909.250123279566,18297.19994521465,10829.468019943439,8980.31098908937,7978.6421393820765,2133.3180240322217,9709.31227814645,1795.1653470701212,9366.60393351221,11253.545374395047,0.0,9254.53199963534,8170.395509786672,9543.069153437295,8798.321608971684,9373.225157229546,9532.669034889863,7370.85294938375,9102.009097801203,11153.913596141403,7828.74735963798,9457.890709909856,9372.118080501896,7898.436176812024,14780.473523154042,9590.00408587783
EGPH,1423.7549912527588,9529.814395113926,1032.8584656977316,1721.1421621023853,5342.430556810266,7067.373027293543,1142.604257606154,6836.246415386642,11358.623493704585,5224.818687727301,2830.767342771072,5776.784700011543,7936.25672217657,868.6768639079258,9032.685343726816,1330.3366233869128,8573.011598267407,9254.53199963534,0.0,1320.2510546542144,736.7464462666057,1366.1622281126076,1764.554368661314,2848.2113604641363,1927.0385770142573,1341.4084262122346,1956.1303624433278,1717.6968421996937,764.8529460052239,761.9890447440483,1705.517234342453,10213.775685686389,337.2039534199319
ESSA,1675.0268443034151,10709.342326685113,1222.987175365273,2601.3493707511634,6311.706893929508,7411.6744673739295,838.7723740907484,5583.875141564338,12598.548940741373,6291.593874633475,2177.481833179683,4784.718435844448,6691.864080722933,1539.1555178390888,7780.26414951412,1317.3110466843007,9555.32776316363,8170.395509786672,1320.2510546542144,0.0,1375.4704625714714,2109.0743457943413,1551.7236859844388,2452.3533525122343,863.3297003586031,1086.9490092945773,2998.3052371348076,398.5689357775947,1287.8123921554281,1201.790094986564,389.62412735087645,10410.637422820557,1624.7526881721867
