,LIME,MMMX,OMDB,LFPG,ZBAA,EDDM,ZSPD,LEMD,VIDP,SAEZ,CYVR,LTFM,CYYZ,EDDT,SBGL,KJFK,RJAA,EDDF,LDZA,LFQQ,EBBR,EFHK,EGPH,LPPT,EFRO,EHEH,EIDW,LGAV,FACT,BIKF,EETN,ESSA,LKPR
LTFM,1608.6007846928012,11389.29648462006,3027.9011773987722,2213.88650722904,7061.75886204329,1547.9829132915345,8021.792958328303,2702.2488319417575,4566.047060442222,12266.824206187948,9588.351242168645,0.0,8171.274964889148,1712.5684114372132,10271.767959942494,8027.011333646928,8980.31098908937,1837.858012568955,1135.558870168953,2221.5840343980844,2141.818322400416,2134.8799157182702,2830.767342771072,3211.7174335800105,2818.8505107888336,2107.001771303601,2924.4683551417634,552.3631359390542,8429.362191332484,4087.246738830808,2037.0282863908224,2177.481833179683,1489.3589955451396
CYYZ,6671.136708671728,3247.890977992751,11080.592571500489,6018.511701618143,10560.263711728265,6639.638079367699,11414.11558758609,6058.631933989723,11639.223104050201,8985.871186138354,3346.065262820104,8171.274964889148,0.0,6477.895440186134,8271.186132408277,587.4088954268707,10299.375959386833,6342.662219553331,7071.777341214486,5973.892370679363,6043.2341631455665,6598.71606358994,5342.430556810266,5739.078245285105,6243.416783834656,6069.742465228985,5259.66456365284,8127.399159836934,13136.631844292497,4202.689344520942,6650.662663103135,6311.706893929508,6682.817209516884
EDDT,809.2271754296073,9713.650891230824,4634.536188630778,850.4974971095637,7357.370941408385,479.5750967765883,8428.152127029933,1853.640992836451,5785.915771305621,11933.024922521272,7979.429067098594,1712.5684114372132,6477.895440186134,0.0,9999.899573136834,6367.419669376641,8941.163890156917,431.6826244968808,784.5721209488278,737.3544487142678,633.1798423077714,1118.8430222369009,1142.604257606154,2302.6857424820937,1701.8548750228817,554.9586303035887,1308.440821698761,1823.2230335509435,9635.66209352229,2379.1423258300797,1043.7146044590377,838.7723740907484,281.576913555292
SBGL,9300.145436141222,7665.076602134776,11884.360300095565,9184.123131785209,17318.624718116444,9616.447470619587,18271.284864397905,8146.258928316377,14063.511167522962,1995.428353470573,11212.325649046332,10271.767959942494,8271.186132408277,9999.899573136834,0.0,7729.093708099038,18531.195791108297,9568.283601551813,9684.845164511811,9339.141101101264,9432.38980302497,11078.85214073269,9529.814395113926,7714.979604082941,11451.376242794004,9519.607478719365,9192.749867185408,9730.98460712888,6087.871598998781,9842.304164811861,11021.75343361116,10709.342326685113,9879.080082772547
KJFK,6477.675550240074,3365.6070797424704,11000.82939708662,5833.386425117882,10977.61138682235,6480.773715334404,11872.965768605623,5762.025471470951,11754.94829850792,8534.711892841717,3929.667087827683,8027.011333646928,587.4088954268707,6367.419669376641,7729.093708099038,0.0,10829.468019943439,6189.1542734461045,6905.329783235579,5807.873795019511,5885.3697807968165,6606.914800539541,5224.818687727301,5404.309620041176,6318.434484589655,5920.872953839785,5102.730002183939,7932.455806289573,12560.803274067739,4197.785190963327,6649.356410602336,6291.593874633475,6550.828678253268
RJAA,9698.334104120337,11253.545374395047,7978.6421393820765,9709.31227814645,2133.3180240322217,9366.60393351221,1795.1653470701212,10771.365389773611,5909.250123279566,18297.19994521465,7503.3643827802725,8980.31098908937,10299.375959386833,8941.163890156917,18531.195791108297,10829.468019943439,0.0,9366.014476753255,9373.225157229546,9543.069153437295,9457.890709909856,7828.74735963798,9254.53199963534,11153.913596141403,7370.85294938375,9372.118080501896,9590.00408587783,9532.669034889863,14780.473523154042,8798.321608971684,7898.436176812024,8170.395509786672,9102.009097801203
EDDF,492.550415734113,9551.980932636412,4842.872064752151,449.00506895345995,7788.395209245619,299.0736493547062,8857.834873324387,1422.050572145159,6121.185112535329,11502.137750607373,8062.180754267541,1837.858012568955,6342.662219553331,431.6826244968808,9568.283601551813,6189.1542734461045,9366.014476753255,0.0,734.44155732098,392.7983156454291,304.70667836915743,1537.9389925099097,1032.8584656977316,1873.84706028188,2079.668281738598,274.34672759363383,1086.8940196113897,1815.8370182307754,9393.055953949077,2379.55963806095,1467.8755620952131,1222.987175365273,406.27801971921986
LDZA,494.3715279576347,10270.57949825156,4162.586440529364,1079.12295434704,7637.516242212898,435.372805823521,8670.244773563427,1692.5382745319923,5589.209484397878,11662.142744355435,8746.620493868128,1135.558870168953,7071.777341214486,784.5721209488278,9684.845164511811,6905.329783235579,9373.225157229546,734.44155732098,0.0,1099.1833149167103,1028.9384999379752,1722.928893753889,1764.554368661314,2202.428641890457,2385.7771646126907,1008.7302268245519,1812.1546193462373,1084.793589115557,8867.258411800965,3094.6660800724226,1628.0765988832688,1551.7236859844388,503.18469523171706
LFQQ,731.8948304163779,9172.519686277623,5233.556863398388,177.29972762352907,8042.99692176469,673.6101624423094,9123.256093925884,1235.5813496072453,6501.080434257892,11246.712767060582,7804.029472119836,2221.5840343980844,5973.892370679363,737.3544487142678,9339.141101101264,5807.873795019511,9543.069153437295,392.7983156454291,1099.1833149167103,0.0,104.17464565809286,1739.9740827336304,736.7464462666057,1624.5352370256298,2186.4196889276245,187.09147772320674,715.1697675357511,2161.2853740484825,9522.742717702058,2102.4846976713584,1686.475455041425,1375.4704625714714,793.0800262284977
EBBR,697.6241308496129,9248.791253224706,5147.156165772344,251.42649654422516,7945.907748157385,596.828250612871,9024.973770238224,1315.552739483112,6399.817544030502,11343.810900959297,7827.183480204533,2141.818322400416,6043.2341631455665,633.1798423077714,9432.38980302497,5885.3697807968165,9457.890709909856,304.70667836915743,1028.9384999379752,104.17464565809286,0.0,1646.5424706420476,764.8529460052239,1717.441913766903,2109.419990192777,87.26507901126318,784.4652218415466,2101.487122926399,9538.261583682088,2128.9170434945413,1590.7996147657782,1287.8123921554281,696.6701556393344
