,LIMC,EDDF,RJAA,KJFK,SBGL,CYVR,LEMD,CYYZ,ZBAA,LTFM,SAEZ,ZSPD,EDDM,LFPG,VIDP,OMDB,EDDT,MMMX,EFHK,EBBR,EGPH,LKPR,FACT,LGAV,BIKF,ESSA,EIDW,LPPT,EETN,LFQQ,EFRO,LDZA,EHEH
SAEZ,11200.030488781033,11502.137750607373,18297.19994521465,8534.711892841717,1995.428353470573,11306.011894863244,10084.891062660701,8985.871186138354,19289.70928642004,12266.824206187948,0.0,19605.48726466171,11571.029543749757,11100.067083107158,15794.490572393017,13675.498953376862,11933.024922521272,7396.77973611544,12981.387744901565,11343.810900959297,11358.623493704585,11830.92337423204,6886.082041979985,11725.05562218717,11460.844970957083,12598.548940741373,11025.405820274522,9632.30052917482,12932.640473630083,11246.712767060582,13282.900559270385,11662.142744355435,11430.931607617464
ZSPD,9145.462921839513,8857.834873324387,1795.1653470701212,11872.965768605623,18271.284864397905,9016.027042522252,10270.038168674499,11414.11558758609,1098.8391881220052,8021.792958328303,19605.48726466171,0.0,8778.291229474024,9266.538821703734,4292.294164011961,6448.573340149029,8428.152127029933,12896.888950685934,7393.997300475772,9024.973770238224,9032.685343726816,8520.514010353765,12989.53522682959,8557.446927892031,8956.580903846041,7780.26414951412,9364.445984146492,10730.78496714352,7439.701976930367,9123.256093925884,7111.796723483437,8670.244773563427,8938.065932826861
EDDM,382.4534017470018,299.0736493547062,9366.60393351221,6480.773715334404,9616.447470619587,8340.059905344417,1496.9693797182808,6639.638079367699,7721.985707506109,1547.9829132915345,11571.029543749757,8778.291229474024,0.0,681.5692933331298,5899.979912189503,4563.68638327735,479.5750967765883,9844.86446381779,1574.5399279099283,596.828250612871,1330.3366233869128,264.80111614065527,9179.18835595483,1517.8783303811158,2669.2628149565803,1317.3110466843007,1381.2860601870107,1983.6079398270863,1491.5970050572942,673.6101624423094,2179.5591456309016,435.372805823521,573.3926461914037
LFPG,597.647227692862,449.00506895345995,9709.31227814645,5833.386425117882,9184.123131785209,7924.983796384183,1064.514287652328,6018.511701618143,8189.724353071151,2213.88650722904,11100.067083107158,9266.538821703734,681.5692933331298,0.0,6565.92854943909,5238.30373722851,850.4974971095637,9198.923534624388,1895.5582344575273,251.42649654422516,868.6768639079258,852.6058359792816,9363.399547331674,2108.8935232724316,2225.1176543641695,1539.1555178390888,784.9693369031335,1469.9632862919395,1837.8392888325443,177.29972762352907,2358.800861619531,1079.12295434704,337.5067385741307
VIDP,6159.502244229665,6121.185112535329,5909.250123279566,11754.94829850792,14063.511167522962,11138.384837166739,7255.328214906565,11639.223104050201,3811.22316900493,4566.047060442222,15794.490572393017,4292.294164011961,5899.979912189503,6565.92854943909,0.0,2183.190603769457,5785.915771305621,14662.708439597296,5223.847444426262,6399.817544030502,6836.246415386642,5714.970423703678,9282.845350520629,4983.851376266188,7593.777972803409,5583.875141564338,7074.36258815461,7767.803301105655,5200.6264450305825,6501.080434257892,5439.118104243794,5589.209484397878,6331.400341379829
OMDB,4708.190352626581,4842.872064752151,7978.6421393820765,11000.82939708662,11884.360300095565,11735.171711494506,5648.573067280119,11080.592571500489,5846.428408163956,3027.9011773987722,13675.498953376862,6448.573340149029,4563.68638327735,5238.30373722851,2183.190603769457,0.0,4634.536188630778,14328.390980757462,4537.025110362885,5147.156165772344,5776.784700011543,4463.278821580964,7644.498781549268,3271.3092464029237,6885.950773003389,4784.718435844448,5918.191105076748,6137.549256169119,4471.733222742804,5233.556863398388,5027.306459147683,4162.586440529364,5102.345397401615
EDDT,839.4229173232067,431.6826244968808,8941.163890156917,6367.419669376641,9999.899573136834,7979.429067098594,1853.640992836451,6477.895440186134,7357.370941408385,1712.5684114372132,11933.024922521272,8428.152127029933,479.5750967765883,850.4974971095637,5785.915771305621,4634.536188630778,0.0,9713.650891230824,1118.8430222369009,633.1798423077714,1142.604257606154,281.576913555292,9635.66209352229,1823.2230335509435,2379.1423258300797,838.7723740907484,1308.440821698761,2302.6857424820937,1043.7146044590377,737.3544487142678,1701.8548750228817,784.5721209488278,554.9586303035887
MMMX,9775.445770070051,9551.980932636412,11253.545374395047,3365.6070797424704,7665.076602134776,3944.571933641011,9066.890918984103,3247.890977992751,12435.185662210233,11389.29648462006,7396.77973611544,12896.888950685934,9844.86446381779,9198.923534624388,14662.708439597296,14328.390980757462,9713.650891230824,0.0,9830.89999106367,9248.791253224706,8573.011598267407,9907.578033808217,13711.343976959879,11295.07456624003,7447.576134836068,9555.32776316363,8465.097546487645,8664.536583495246,9887.012309094367,9172.519686277623,9429.19591909452,10270.57949825156,9282.302300217629
EFHK,1951.0929540754787,1537.9389925099097,7828.74735963798,6606.914800539541,11078.85214073269,7505.149627195536,2947.4320721225527,6598.71606358994,6308.537771925007,2134.8799157182702,12981.387744901565,7393.997300475772,1574.5399279099283,1895.5582344575273,5223.847444426262,4537.025110362885,1118.8430222369009,9830.89999106367,0.0,1646.5424706420476,1717.6968421996937,1319.6263258874899,10500.580656352362,2489.6794411140104,2409.583253800543,398.5689357775947,2023.288540062737,3363.876975912895,100.72063567001045,1739.9740827336304,695.2573510545288,1722.928893753889,1559.3618854820566
EBBR,664.3952506566018,304.70667836915743,9457.890709909856,5885.3697807968165,9432.38980302497,7827.183480204533,1315.552739483112,6043.2341631455665,7945.907748157385,2141.818322400416,11343.810900959297,9024.973770238224,596.828250612871,251.42649654422516,6399.817544030502,5147.156165772344,633.1798423077714,9248.791253224706,1646.5424706420476,0.0,764.8529460052239,696.6701556393344,9538.261583682088,2101.487122926399,2128.9170434945413,1287.8123921554281,784.4652218415466,1717.441913766903,1590.7996147657782,104.17464565809286,2109.419990192777,1028.9384999379752,87.26507901126318
EGPH,1423.7549912527588,1032.8584656977316,9254.53199963534,5224.818687727301,9529.814395113926,7067.373027293543,1721.1421621023853,5342.430556810266,7936.25672217657,2830.767342771072,11358.623493704585,9032.685343726816,1330.3366233869128,868.6768639079258,6836.246415386642,5776.784700011543,1142.604257606154,8573.011598267407,1717.6968421996937,764.8529460052239,0.0,1341.4084262122346,10213.775685686389,2848.2113604641363,1366.1622281126076,1320.2510546542144,337.2039534199319,1956.1303624433278,1705.517234342453,736.7464462666057,1927.0385770142573,1764.554368661314,761.9890447440483
