,LIME,CYYZ,KJFK,RJAA,VIDP,LFPG,EDDT,ZBAA,MMMX,SBGL,EDDM,OMDB,EDDF,LTFM,CYVR,SAEZ,ZSPD,LEMD,EETN,EBBR,ESSA,EGPH,LDZA,EHEH,LFQQ,BIKF,LPPT,LKPR,EIDW,LGAV,EFRO,EFHK,FACT
EDDM,337.8149533285702,6639.638079367699,6480.773715334404,9366.60393351221,5899.979912189503,681.5692933331298,479.5750967765883,7721.985707506109,9844.86446381779,9616.447470619587,0.0,4563.68638327735,299.0736493547062,1547.9829132915345,8340.059905344417,11571.029543749757,8778.291229474024,1496.9693797182808,1491.5970050572942,596.828250612871,1317.3110466843007,1330.3366233869128,435.372805823521,573.3926461914037,673.6101624423094,2669.2628149565803,1983.6079398270863,264.80111614065527,1381.2860601870107,1517.8783303811158,2179.5591456309016,1574.5399279099283,9179.18835595483
OMDB,4634.411696551434,11080.592571500489,11000.82939708662,7978.6421393820765,2183.190603769457,5238.30373722851,4634.536188630778,5846.428408163956,14328.390980757462,11884.360300095565,4563.68638327735,0.0,4842.872064752151,3027.9011773987722,11735.171711494506,13675.498953376862,6448.573340149029,5648.573067280119,4471.733222742804,5147.156165772344,4784.718435844448,5776.784700011543,4162.586440529364,5102.345397401615,5233.556863398388,6885.950773003389,6137.549256169119,4463.278821580964,5918.191105076748,3271.3092464029237,5027.306459147683,4537.025110362885,7644.498781549268
EDDF,492.550415734113,6342.662219553331,6189.1542734461045,9366.014476753255,6121.185112535329,449.00506895345995,431.6826244968808,7788.395209245619,9551.980932636412,9568.283601551813,299.0736493547062,4842.872064752151,0.0,1837.858012568955,8062.180754267541,11502.137750607373,8857.834873324387,1422.050572145159,1467.8755620952131,304.70667836915743,1222.987175365273,1032.8584656977316,734.44155732098,274.34672759363383,392.7983156454291,2379.55963806095,1873.84706028188,406.27801971921986,1086.8940196113897,1815.8370182307754,2079.668281738598,1537.9389925099097,9393.055953949077
LTFM,1608.6007846928012,8171.274964889148,8027.011333646928,8980.31098908937,4566.047060442222,2213.88650722904,1712.5684114372132,7061.75886204329,11389.29648462006,10271.767959942494,1547.9829132915345,3027.9011773987722,1837.858012568955,0.0,9588.351242168645,12266.824206187948,8021.792958328303,2702.2488319417575,2037.0282863908224,2141.818322400416,2177.481833179683,2830.767342771072,1135.558870168953,2107.001771303601,2221.5840343980844,4087.246738830808,3211.7174335800105,1489.3589955451396,2924.4683551417634,552.3631359390542,2818.8505107888336,2134.8799157182702,8429.362191332484
CYVR,8524.300246721084,3346.065262820104,3929.667087827683,7503.3643827802725,11138.384837166739,7924.983796384183,7979.429067098594,8491.592942617246,3944.571933641011,11212.325649046332,8340.059905344417,11735.171711494506,8062.180754267541,9588.351242168645,0.0,11306.011894863244,9016.027042522252,8426.398460222947,7595.2331088364135,7827.183480204533,7411.6744673739295,7067.373027293543,8746.620493868128,7809.899033180775,7804.029472119836,5701.731716788582,8288.503867714651,8252.779547259795,7164.329817709851,9800.56504320369,6878.634761429539,7505.149627195536,16465.20953208748
SAEZ,11262.454460082292,8985.871186138354,8534.711892841717,18297.19994521465,15794.490572393017,11100.067083107158,11933.024922521272,19289.70928642004,7396.77973611544,1995.428353470573,11571.029543749757,13675.498953376862,11502.137750607373,12266.824206187948,11306.011894863244,0.0,19605.48726466171,10084.891062660701,12932.640473630083,11343.810900959297,12598.548940741373,11358.623493704585,11662.142744355435,11430.931607617464,11246.712767060582,11460.844970957083,9632.30052917482,11830.92337423204,11025.405820274522,11725.05562218717,13282.900559270385,12981.387744901565,6886.082041979985
ZSPD,9081.345720298381,11414.11558758609,11872.965768605623,1795.1653470701212,4292.294164011961,9266.538821703734,8428.152127029933,1098.8391881220052,12896.888950685934,18271.284864397905,8778.291229474024,6448.573340149029,8857.834873324387,8021.792958328303,9016.027042522252,19605.48726466171,0.0,10270.038168674499,7439.701976930367,9024.973770238224,7780.26414951412,9032.685343726816,8670.244773563427,8938.065932826861,9123.256093925884,8956.580903846041,10730.78496714352,8520.514010353765,9364.445984146492,8557.446927892031,7111.796723483437,7393.997300475772,12989.53522682959
LEMD,1220.367427968824,6058.631933989723,5762.025471470951,10771.365389773611,7255.328214906565,1064.514287652328,1853.640992836451,9206.378510653298,9066.890918984103,8146.258928316377,1496.9693797182808,5648.573067280119,1422.050572145159,2702.2488319417575,8426.398460222947,10084.891062660701,10270.038168674499,0.0,2883.3149200833927,1315.552739483112,2601.3493707511634,1721.1421621023853,1692.5382745319923,1400.4404453661639,1235.5813496072453,2888.0069315874402,512.8845584370001,1750.6615229202562,1454.225118962622,2377.4313326404604,3422.0000222935455,2947.4320721225527,8584.107113717999
EETN,1829.3731684707757,6650.662663103135,6649.356410602336,7898.436176812024,5200.6264450305825,1837.8392888325443,1043.7146044590377,6357.094712899396,9887.012309094367,11021.75343361116,1491.5970050572942,4471.733222742804,1467.8755620952131,2037.0282863908224,7595.2331088364135,12932.640473630083,7439.701976930367,2883.3149200833927,0.0,1590.7996147657782,389.62412735087645,1705.517234342453,1628.0765988832688,1503.538739642221,1686.475455041425,2454.7484880957145,3307.6755735702613,1234.036333291913,2002.9192181397093,2389.0689513250063,795.9448462888196,100.72063567001045,10399.864784061421
EBBR,697.6241308496129,6043.2341631455665,5885.3697807968165,9457.890709909856,6399.817544030502,251.42649654422516,633.1798423077714,7945.907748157385,9248.791253224706,9432.38980302497,596.828250612871,5147.156165772344,304.70667836915743,2141.818322400416,7827.183480204533,11343.810900959297,9024.973770238224,1315.552739483112,1590.7996147657782,0.0,1287.8123921554281,764.8529460052239,1028.9384999379752,87.26507901126318,104.17464565809286,2128.9170434945413,1717.441913766903,696.6701556393344,784.4652218415466,2101.487122926399,2109.419990192777,1646.5424706420476,9538.261583682088
