,LIME,SAEZ,LFPG,CYVR,CYYZ,LEMD,LTFM,MMMX,KJFK,EDDT,EDDF,RJAA,OMDB,EDDM,SBGL,ZBAA,ZSPD,VIDP,ESSA,EHEH,BIKF,EETN,LKPR,LPPT,EBBR,EFHK,EGPH,FACT,LFQQ,LGAV,LDZA,EFRO,EIDW
LKPR,598.695349516173,11830.92337423204,852.6058359792816,8252.779547259795,6682.817209516884,1750.6615229202562,1489.3589955451396,9907.578033808217,6550.828678253268,281.576913555292,406.27801971921986,9102.009097801203,4463.278821580964,264.80111614065527,9879.080082772547,7461.550939385754,8520.514010353765,5714.970423703678,1086.9490092945773,642.0340692834425,2628.101221542469,1234.036333291913,0.0,2228.9079544309607,696.6701556393344,1319.6263258874899,1341.4084262122346,9358.288777530079,793.0800262284977,1555.754332455913,503.18469523171706,1942.94896284112,1454.9163652752302
LPPT,1724.0154738241492,9632.30052917482,1469.9632862919395,8288.503867714651,5739.078245285105,512.8845584370001,3211.7174335800105,8664.536583495246,5404.309620041176,2302.6857424820937,1873.84706028188,11153.913596141403,6137.549256169119,1983.6079398270863,7714.979604082941,9657.682879314776,10730.78496714352,7767.803301105655,2998.3052371348076,1804.6765643174188,2942.307926147029,3307.6755735702613,2228.9079544309607,0.0,1717.441913766903,3363.876975912895,1956.1303624433278,8579.965571388671,1624.5352370256298,2870.399397724636,2202.428641890457,3783.3341214037023,1642.4746695558613
EBBR,697.6241308496129,11343.810900959297,251.42649654422516,7827.183480204533,6043.2341631455665,1315.552739483112,2141.818322400416,9248.791253224706,5885.3697807968165,633.1798423077714,304.70667836915743,9457.890709909856,5147.156165772344,596.828250612871,9432.38980302497,7945.907748157385,9024.973770238224,6399.817544030502,1287.8123921554281,87.26507901126318,2128.9170434945413,1590.7996147657782,696.6701556393344,1717.441913766903,0.0,1646.5424706420476,764.8529460052239,9538.261583682088,104.17464565809286,2101.487122926399,1028.9384999379752,2109.419990192777,784.4652218415466
EFHK,1912.2938553387621,12981.387744901565,1895.5582344575273,7505.149627195536,6598.71606358994,2947.4320721225527,2134.8799157182702,9830.89999106367,6606.914800539541,1118.8430222369009,1537.9389925099097,7828.74735963798,4537.025110362885,1574.5399279099283,11078.85214073269,6308.537771925007,7393.997300475772,5223.847444426262,398.5689357775947,1559.3618854820566,2409.583253800543,100.72063567001045,1319.6263258874899,3363.876975912895,1646.5424706420476,0.0,1717.6968421996937,10500.580656352362,1739.9740827336304,2489.6794411140104,1722.928893753889,695.2573510545288,2023.288540062737
EGPH,1461.4919162938756,11358.623493704585,868.6768639079258,7067.373027293543,5342.430556810266,1721.1421621023853,2830.767342771072,8573.011598267407,5224.818687727301,1142.604257606154,1032.8584656977316,9254.53199963534,5776.784700011543,1330.3366233869128,9529.814395113926,7936.25672217657,9032.685343726816,6836.246415386642,1320.2510546542144,761.9890447440483,1366.1622281126076,1705.517234342453,1341.4084262122346,1956.1303624433278,764.8529460052239,1717.6968421996937,0.0,10213.775685686389,736.7464462666057,2848.2113604641363,1764.554368661314,1927.0385770142573,337.2039534199319
FACT,8900.787773541293,6886.082041979985,9363.399547331674,16465.20953208748,13136.631844292497,8584.107113717999,8429.362191332484,13711.343976959879,12560.803274067739,9635.66209352229,9393.055953949077,14780.473523154042,7644.498781549268,9179.18835595483,6087.871598998781,12967.734897763023,12989.53522682959,9282.845350520629,10410.637422820557,9586.034315842975,11472.045420118653,10399.864784061421,9358.288777530079,8579.965571388671,9538.261583682088,10500.580656352362,10213.775685686389,0.0,9522.742717702058,8014.8303514408435,8867.258411800965,11195.351682199891,10009.776088175524
LFQQ,731.8948304163779,11246.712767060582,177.29972762352907,7804.029472119836,5973.892370679363,1235.5813496072453,2221.5840343980844,9172.519686277623,5807.873795019511,737.3544487142678,392.7983156454291,9543.069153437295,5233.556863398388,673.6101624423094,9339.141101101264,8042.99692176469,9123.256093925884,6501.080434257892,1375.4704625714714,187.09147772320674,2102.4846976713584,1686.475455041425,793.0800262284977,1624.5352370256298,104.17464565809286,1739.9740827336304,736.7464462666057,9522.742717702058,0.0,2161.2853740484825,1099.1833149167103,2186.4196889276245,715.1697675357511
LGAV,1457.2765076695869,11725.05562218717,2108.8935232724316,9800.56504320369,8127.399159836934,2377.4313326404604,552.3631359390542,11295.07456624003,7932.455806289573,1823.2230335509435,1815.8370182307754,9532.669034889863,3271.3092464029237,1517.8783303811158,9730.98460712888,7607.430542904929,8557.446927892031,4983.851376266188,2452.3533525122343,2089.016063229445,4176.891888856657,2389.0689513250063,1555.754332455913,2870.399397724636,2101.487122926399,2489.6794411140104,2848.2113604641363,8014.8303514408435,2161.2853740484825,0.0,1084.793589115557,3184.843224387242,2875.9209801847924
LDZA,494.3715279576347,11662.142744355435,1079.12295434704,8746.620493868128,7071.777341214486,1692.5382745319923,1135.558870168953,10270.57949825156,6905.329783235579,784.5721209488278,734.44155732098,9373.225157229546,4162.586440529364,435.372805823521,9684.845164511811,7637.516242212898,8670.244773563427,5589.209484397878,1551.7236859844388,1008.7302268245519,3094.6660800724226,1628.0765988832688,503.18469523171706,2202.428641890457,1028.9384999379752,1722.928893753889,1764.554368661314,8867.258411800965,1099.1833149167103,1084.793589115557,0.0,2385.7771646126907,1812.1546193462373
EFRO,2510.9812975034515,13282.900559270385,2358.800861619531,6878.634761429539,6243.416783834656,3422.0000222935455,2818.8505107888336,9429.19591909452,6318.434484589655,1701.8548750228817,2079.668281738598,7370.85294938375,5027.306459147683,2179.5591456309016,11451.376242794004,6013.908578937793,7111.796723483437,5439.118104243794,863.3297003586031,2026.9394149057935,2177.0499490729367,795.9448462888196,1942.94896284112,3783.3341214037023,2109.419990192777,695.2573510545288,1927.0385770142573,11195.351682199891,2186.4196889276245,3184.843224387242,2385.7771646126907,0.0,2262.6890021087634
EIDW,1433.663567238871,11025.405820274522,784.9693369031335,7164.329817709851,5259.66456365284,1454.225118962622,2924.4683551417634,8465.097546487645,5102.730002183939,1308.440821698761,1086.8940196113897,9590.00408587783,5918.191105076748,1381.2860601870107,9192.749867185408,8268.747197889683,9364.445984146492,7074.36258815461,1624.7526881721867,818.4419646564614,1486.395041095137,2002.9192181397093,1454.9163652752302,1642.4746695558613,784.4652218415466,2023.288540062737,337.2039534199319,10009.776088175524,715.1697675357511,2875.9209801847924,1812.1546193462373,2262.6890021087634,0.0
