,LIMC,EDDF,SBGL,LEMD,KJFK,CYYZ,CYVR,OMDB,VIDP,EDDM,MMMX,EDDT,LTFM,ZBAA,SAEZ,LFPG,RJAA,ZSPD,EBBR,LDZA,EGPH,LPPT,ESSA,FACT,BIKF,LFQQ,LKPR,LGAV,EFHK,EIDW,EFRO,EETN,EHEH
MMMX,9775.445770070051,9551.980932636412,7665.076602134776,9066.890918984103,3365.6070797424704,3247.890977992751,3944.571933641011,14328.390980757462,14662.708439597296,9844.86446381779,0.0,9713.650891230824,11389.29648462006,12435.185662210233,7396.77973611544,9198.923534624388,11253.545374395047,12896.888950685934,9248.791253224706,10270.57949825156,8573.011598267407,8664.536583495246,9555.32776316363,13711.343976959879,7447.576134836068,9172.519686277623,9907.578033808217,11295.07456624003,9830.89999106367,8465.097546487645,9429.19591909452,9887.012309094367,9282.302300217629
EDDT,839.4229173232067,431.6826244968808,9999.899573136834,1853.640992836451,6367.419669376641,6477.895440186134,7979.429067098594,4634.536188630778,5785.915771305621,479.5750967765883,9713.650891230824,0.0,1712.5684114372132,7357.370941408385,11933.024922521272,850.4974971095637,8941.163890156917,8428.152127029933,633.1798423077714,784.5721209488278,1142.604257606154,2302.6857424820937,838.7723740907484,9635.66209352229,2379.1423258300797,737.3544487142678,281.576913555292,1823.2230335509435,1118.8430222369009,1308.440821698761,1701.8548750228817,1043.7146044590377,554.9586303035887
LTFM,1683.3050965704033,1837.858012568955,10271.767959942494,2702.2488319417575,8027.011333646928,8171.274964889148,9588.351242168645,3027.9011773987722,4566.047060442222,1547.9829132915345,11389.29648462006,1712.5684114372132,0.0,7061.75886204329,12266.824206187948,2213.88650722904,8980.31098908937,8021.792958328303,2141.818322400416,1135.558870168953,2830.767342771072,3211.7174335800105,2177.481833179683,8429.362191332484,4087.246738830808,2221.5840343980844,1489.3589955451396,552.3631359390542,2134.8799157182702,2924.4683551417634,2818.8505107888336,2037.0282863908224,2107.001771303601
ZBAA,8094.086522767396,7788.395209245619,17318.624718116444,9206.378510653298,10977.61138682235,10560.263711728265,8491.592942617246,5846.428408163956,3811.22316900493,7721.985707506109,12435.185662210233,7357.370941408385,7061.75886204329,0.0,19289.70928642004,8189.724353071151,2133.3180240322217,1098.8391881220052,7945.907748157385,7637.516242212898,7936.25672217657,9657.682879314776,6691.864080722933,12967.734897763023,7870.884193010363,8042.99692176469,7461.550939385754,7607.430542904929,6308.537771925007,8268.747197889683,6013.908578937793,6357.094712899396,7858.784279958065
SAEZ,11200.030488781033,11502.137750607373,1995.428353470573,10084.891062660701,8534.711892841717,8985.871186138354,11306.011894863244,13675.498953376862,15794.490572393017,11571.029543749757,7396.77973611544,11933.024922521272,12266.824206187948,19289.70928642004,0.0,11100.067083107158,18297.19994521465,19605.48726466171,11343.810900959297,11662.142744355435,11358.623493704585,9632.30052917482,12598.548940741373,6886.082041979985,11460.844970957083,11246.712767060582,11830.92337423204,11725.05562218717,12981.387744901565,11025.405820274522,13282.900559270385,12932.640473630083,11430.931607617464
LFPG,597.647227692862,449.00506895345995,9184.123131785209,1064.514287652328,5833.386425117882,6018.511701618143,7924.983796384183,5238.30373722851,6565.92854943909,681.5692933331298,9198.923534624388,850.4974971095637,2213.88650722904,8189.724353071151,11100.067083107158,0.0,9709.31227814645,9266.538821703734,251.42649654422516,1079.12295434704,868.6768639079258,1469.9632862919395,1539.1555178390888,9363.399547331674,2225.1176543641695,177.29972762352907,852.6058359792816,2108.8935232724316,1895.5582344575273,784.9693369031335,2358.800861619531,1837.8392888325443,337.5067385741307
RJAA,9749.009266937597,9366.014476753255,18531.195791108297,10771.365389773611,10829.468019943439,10299.375959386833,7503.3643827802725,7978.6421393820765,5909.250123279566,9366.60393351221,11253.545374395047,8941.163890156917,8980.31098908937,2133.3180240322217,18297.19994521465,9709.31227814645,0.0,1795.1653470701212,9457.890709909856,9373.225157229546,9254.53199963534,11153.913596141403,8170.395509786672,14780.473523154042,8798.321608971684,9543.069153437295,9102.009097801203,9532.669034889863,7828.74735963798,9590.00408587783,7370.85294938375,7898.436176812024,9372.118080501896
ZSPD,9145.462921839513,8857.834873324387,18271.284864397905,10270.038168674499,11872.965768605623,11414.11558758609,9016.027042522252,6448.573340149029,4292.294164011961,8778.291229474024,12896.888950685934,8428.152127029933,8021.792958328303,1098.8391881220052,19605.48726466171,9266.538821703734,1795.1653470701212,0.0,9024.973770238224,8670.244773563427,9032.685343726816,10730.78496714352,7780.26414951412,12989.53522682959,8956.580903846041,9123.256093925884,8520.514010353765,8557.446927892031,7393.997300475772,9364.445984146492,7111.796723483437,7439.701976930367,8938.065932826861
EBBR,664.3952506566018,304.70667836915743,9432.38980302497,1315.552739483112,5885.3697807968165,6043.2341631455665,7827.183480204533,5147.156165772344,6399.817544030502,596.828250612871,9248.791253224706,633.1798423077714,2141.818322400416,7945.907748157385,11343.810900959297,251.42649654422516,9457.890709909856,9024.973770238224,0.0,1028.9384999379752,764.8529460052239,1717.441913766903,1287.8123921554281,9538.261583682088,2128.9170434945413,104.17464565809286,696.6701556393344,2101.487122926399,1646.5424706420476,784.4652218415466,2109.419990192777,1590.7996147657782,87.26507901126318
LDZA,571.2976495991094,734.44155732098,9684.845164511811,1692.5382745319923,6905.329783235579,7071.777341214486,8746.620493868128,4162.586440529364,5589.209484397878,435.372805823521,10270.57949825156,784.5721209488278,1135.558870168953,7637.516242212898,11662.142744355435,1079.12295434704,9373.225157229546,8670.244773563427,1028.9384999379752,0.0,1764.554368661314,2202.428641890457,1551.7236859844388,8867.258411800965,3094.6660800724226,1099.1833149167103,503.18469523171706,1084.793589115557,1722.928893753889,1812.1546193462373,2385.7771646126907,1628.0765988832688,1008.7302268245519
EGPH,1423.7549912527588,1032.8584656977316,9529.814395113926,1721.1421621023853,5224.818687727301,5342.430556810266,7067.373027293543,5776.784700011543,6836.246415386642,1330.3366233869128,8573.011598267407,1142.604257606154,2830.767342771072,7936.25672217657,11358.623493704585,868.6768639079258,9254.53199963534,9032.685343726816,764.8529460052239,1764.554368661314,0.0,1956.1303624433278,1320.2510546542144,10213.775685686389,1366.1622281126076,736.7464462666057,1341.4084262122346,2848.2113604641363,1717.6968421996937,337.2039534199319,1927.0385770142573,1705.517234342453,761.9890447440483
LPPT,1650.4062874119006,1873.84706028188,7714.979604082941,512.8845584370001,5404.309620041176,5739.078245285105,8288.503867714651,6137.549256169119,7767.803301105655,1983.6079398270863,8664.536583495246,2302.6857424820937,3211.7174335800105,9657.682879314776,9632.30052917482,1469.9632862919395,11153.913596141403,10730.78496714352,1717.441913766903,2202.428641890457,1956.1303624433278,0.0,2998.3052371348076,8579.965571388671,2942.307926147029,1624.5352370256298,2228.9079544309607,2870.399397724636,3363.876975912895,1642.4746695558613,3783.3341214037023,3307.6755735702613,1804.6765643174188
ESSA,1675.0268443034151,1222.987175365273,10709.342326685113,2601.3493707511634,6291.593874633475,6311.706893929508,7411.6744673739295,4784.718435844448,5583.875141564338,1317.3110466843007,9555.32776316363,838.7723740907484,2177.481833179683,6691.864080722933,12598.548940741373,1539.1555178390888,8170.395509786672,7780.26414951412,1287.8123921554281,1551.7236859844388,1320.2510546542144,2998.3052371348076,0.0,10410.637422820557,2109.0743457943413,1375.4704625714714,1086.9490092945773,2452.3533525122343,398.5689357775947,1624.7526881721867,863.3297003586031,389.62412735087645,1201.790094986564
FACT,8906.660841148243,9393.055953949077,6087.871598998781,8584.107113717999,12560.803274067739,13136.631844292497,16465.20953208748,7644.498781549268,9282.845350520629,9179.18835595483,13711.343976959879,9635.66209352229,8429.362191332484,12967.734897763023,6886.082041979985,9363.399547331674,14780.473523154042,12989.53522682959,9538.261583682088,8867.258411800965,10213.775685686389,8579.965571388671,10410.637422820557,0.0,11472.045420118653,9522.742717702058,9358.288777530079,8014.8303514408435,10500.580656352362,10009.776088175524,11195.351682199891,10399.864784061421,9586.034315842975
BIKF,2789.8815830930635,2379.55963806095,9842.304164811861,2888.0069315874402,4197.785190963327,4202.689344520942,5701.731716788582,6885.950773003389,7593.777972803409,2669.2628149565803,7447.576134836068,2379.1423258300797,4087.246738830808,7870.884193010363,11460.844970957083,2225.1176543641695,8798.321608971684,8956.580903846041,2128.9170434945413,3094.6660800724226,1366.1622281126076,2942.307926147029,2109.0743457943413,11472.045420118653,0.0,2102.4846976713584,2628.101221542469,4176.891888856657,2409.583253800543,1486.395041095137,2177.0499490729367,2454.7484880957145,2117.6234281227908
LFQQ,689.0474073989398,392.7983156454291,9339.141101101264,1235.5813496072453,5807.873795019511,5973.892370679363,7804.029472119836,5233.556863398388,6501.080434257892,673.6101624423094,9172.519686277623,737.3544487142678,2221.5840343980844,8042.99692176469,11246.712767060582,177.29972762352907,9543.069153437295,9123.256093925884,104.17464565809286,1099.1833149167103,736.7464462666057,1624.5352370256298,1375.4704625714714,9522.742717702058,2102.4846976713584,0.0,793.0800262284977,2161.2853740484825,1739.9740827336304,715.1697675357511,2186.4196889276245,1686.475455041425,187.09147772320674
LKPR,647.0153232599317,406.27801971921986,9879.080082772547,1750.6615229202562,6550.828678253268,6682.817209516884,8252.779547259795,4463.278821580964,5714.970423703678,264.80111614065527,9907.578033808217,281.576913555292,1489.3589955451396,7461.550939385754,11830.92337423204,852.6058359792816,9102.009097801203,8520.514010353765,696.6701556393344,503.18469523171706,1341.4084262122346,2228.9079544309607,1086.9490092945773,9358.288777530079,2628.101221542469,793.0800262284977,0.0,1555.754332455913,1319.6263258874899,1454.9163652752302,1942.94896284112,1234.036333291913,642.0340692834425
LGAV,1521.438716868451,1815.8370182307754,9730.98460712888,2377.4313326404604,7932.455806289573,8127.399159836934,9800.56504320369,3271.3092464029237,4983.851376266188,1517.8783303811158,11295.07456624003,1823.2230335509435,552.3631359390542,7607.430542904929,11725.05562218717,2108.8935232724316,9532.669034889863,8557.446927892031,2101.487122926399,1084.793589115557,2848.2113604641363,2870.399397724636,2452.3533525122343,8014.8303514408435,4176.891888856657,2161.2853740484825,1555.754332455913,0.0,2489.6794411140104,2875.9209801847924,3184.843224387242,2389.0689513250063,2089.016063229445
EFHK,1951.0929540754787,1537.9389925099097,11078.85214073269,2947.4320721225527,6606.914800539541,6598.71606358994,7505.149627195536,4537.025110362885,5223.847444426262,1574.5399279099283,9830.89999106367,1118.8430222369009,2134.8799157182702,6308.537771925007,12981.387744901565,1895.5582344575273,7828.74735963798,7393.997300475772,1646.5424706420476,1722.928893753889,1717.6968421996937,3363.876975912895,398.5689357775947,10500.580656352362,2409.583253800543,1739.9740827336304,1319.6263258874899,2489.6794411140104,0.0,2023.288540062737,695.2573510545288,100.72063567001045,1559.3618854820566
EIDW,1381.192654254011,1086.8940196113897,9192.749867185408,1454.225118962622,5102.730002183939,5259.66456365284,7164.329817709851,5918.191105076748,7074.36258815461,1381.2860601870107,8465.097546487645,1308.440821698761,2924.4683551417634,8268.747197889683,11025.405820274522,784.9693369031335,9590.00408587783,9364.445984146492,784.4652218415466,1812.1546193462373,337.2039534199319,1642.4746695558613,1624.7526881721867,10009.776088175524,1486.395041095137,715.1697675357511,1454.9163652752302,2875.9209801847924,2023.288540062737,0.0,2262.6890021087634,2002.9192181397093,818.4419646564614
EFRO,2538.132936085888,2079.668281738598,11451.376242794004,3422.0000222935455,6318.434484589655,6243.416783834656,6878.634761429539,5027.306459147683,5439.118104243794,2179.5591456309016,9429.19591909452,1701.8548750228817,2818.8505107888336,6013.908578937793,13282.900559270385,2358.800861619531,7370.85294938375,7111.796723483437,2109.419990192777,2385.7771646126907,1927.0385770142573,3783.3341214037023,863.3297003586031,11195.351682199891,2177.0499490729367,2186.4196889276245,1942.94896284112,3184.843224387242,695.2573510545288,2262.6890021087634,0.0,795.9448462888196,2026.9394149057935
EETN,1870.2436430922335,1467.8755620952131,11021.75343361116,2883.3149200833927,6649.356410602336,6650.662663103135,7595.2331088364135,4471.733222742804,5200.6264450305825,1491.5970050572942,9887.012309094367,1043.7146044590377,2037.0282863908224,6357.094712899396,12932.640473630083,1837.8392888325443,7898.436176812024,7439.701976930367,1590.7996147657782,1628.0765988832688,1705.517234342453,3307.6755735702613,389.62412735087645,10399.864784061421,2454.7484880957145,1686.475455041425,1234.036333291913,2389.0689513250063,100.72063567001045,2002.9192181397093,795.9448462888196,0.0,1503.538739642221
EHEH,692.3835754883867,274.34672759363383,9519.607478719365,1400.4404453661639,5920.872953839785,6069.742465228985,7809.899033180775,5102.345397401615,6331.400341379829,573.3926461914037,9282.302300217629,554.9586303035887,2107.001771303601,7858.784279958065,11430.931607617464,337.5067385741307,9372.118080501896,8938.065932826861,87.26507901126318,1008.7302268245519,761.9890447440483,1804.6765643174188,1201.790094986564,9586.034315842975,2117.6234281227908,187.09147772320674,642.0340692834425,2089.016063229445,1559.3618854820566,818.4419646564614,2026.9394149057935,1503.538739642221,0.0
