,LIRF,LEMD,VIDP,MMMX,LFPG,ZBAA,ZSPD,EDDF,RJAA,KJFK,SBGL,LTFM,CYVR,EDDM,CYYZ,SAEZ,EDDT,OMDB,EGPH,LDZA,EETN,FACT,LGAV,LPPT,EIDW,EFRO,EFHK,EBBR,ESSA,EHEH,LKPR,LFQQ,BIKF
SBGL,9169.145384992777,8146.258928316377,14063.511167522962,7665.076602134776,9184.123131785209,17318.624718116444,18271.284864397905,9568.283601551813,18531.195791108297,7729.093708099038,0.0,10271.767959942494,11212.325649046332,9616.447470619587,8271.186132408277,1995.428353470573,9999.899573136834,11884.360300095565,9529.814395113926,9684.845164511811,11021.75343361116,6087.871598998781,9730.98460712888,7714.979604082941,9192.749867185408,11451.376242794004,11078.85214073269,9432.38980302497,10709.342326685113,9519.607478719365,9879.080082772547,9339.141101101264,9842.304164811861
LTFM,1373.0851274414642,2702.2488319417575,4566.047060442222,11389.29648462006,2213.88650722904,7061.75886204329,8021.792958328303,1837.858012568955,8980.31098908937,8027.011333646928,10271.767959942494,0.0,9588.351242168645,1547.9829132915345,8171.274964889148,12266.824206187948,1712.5684114372132,3027.9011773987722,2830.767342771072,1135.558870168953,2037.0282863908224,8429.362191332484,552.3631359390542,3211.7174335800105,2924.4683551417634,2818.8505107888336,2134.8799157182702,2141.818322400416,2177.481833179683,2107.001771303601,1489.3589955451396,2221.5840343980844,4087.246738830808
CYVR,9002.229875705996,8426.398460222947,11138.384837166739,3944.571933641011,7924.983796384183,8491.592942617246,9016.027042522252,8062.180754267541,7503.3643827802725,3929.667087827683,11212.325649046332,9588.351242168645,0.0,8340.059905344417,3346.065262820104,11306.011894863244,7979.429067098594,11735.171711494506,7067.373027293543,8746.620493868128,7595.2331088364135,16465.20953208748,9800.56504320369,8288.503867714651,7164.329817709851,6878.634761429539,7505.149627195536,7827.183480204533,7411.6744673739295,7809.899033180775,8252.779547259795,7804.029472119836,5701.731716788582
EDDM,732.5545180372009,1496.9693797182808,5899.979912189503,9844.86446381779,681.5692933331298,7721.985707506109,8778.291229474024,299.0736493547062,9366.60393351221,6480.773715334404,9616.447470619587,1547.9829132915345,8340.059905344417,0.0,6639.638079367699,11571.029543749757,479.5750967765883,4563.68638327735,1330.3366233869128,435.372805823521,1491.5970050572942,9179.18835595483,1517.8783303811158,1983.6079398270863,1381.2860601870107,2179.5591456309016,1574.5399279099283,596.828250612871,1317.3110466843007,573.3926461914037,264.80111614065527,673.6101624423094,2669.2628149565803
CYYZ,7086.091111460242,6058.631933989723,11639.223104050201,3247.890977992751,6018.511701618143,10560.263711728265,11414.11558758609,6342.662219553331,10299.375959386833,587.4088954268707,8271.186132408277,8171.274964889148,3346.065262820104,6639.638079367699,0.0,8985.871186138354,6477.895440186134,11080.592571500489,5342.430556810266,7071.777341214486,6650.662663103135,13136.631844292497,8127.399159836934,5739.078245285105,5259.66456365284,6243.416783834656,6598.71606358994,6043.2341631455665,6311.706893929508,6069.742465228985,6682.817209516884,5973.892370679363,4202.689344520942
SAEZ,11152.64657458875,10084.891062660701,15794.490572393017,7396.77973611544,11100.067083107158,19289.70928642004,19605.48726466171,11502.137750607373,18297.19994521465,8534.711892841717,1995.428353470573,12266.824206187948,11306.011894863244,11571.029543749757,8985.871186138354,0.0,11933.024922521272,13675.498953376862,11358.623493704585,11662.142744355435,12932.640473630083,6886.082041979985,11725.05562218717,9632.30052917482,11025.405820274522,13282.900559270385,12981.387744901565,11343.810900959297,12598.548940741373,11430.931607617464,11830.92337423204,11246.712767060582,11460.844970957083
EDDT,1201.9453532976966,1853.640992836451,5785.915771305621,9713.650891230824,850.4974971095637,7357.370941408385,8428.152127029933,431.6826244968808,8941.163890156917,6367.419669376641,9999.899573136834,1712.5684114372132,7979.429067098594,479.5750967765883,6477.895440186134,11933.024922521272,0.0,4634.536188630778,1142.604257606154,784.5721209488278,1043.7146044590377,9635.66209352229,1823.2230335509435,2302.6857424820937,1308.440821698761,1701.8548750228817,1118.8430222369009,633.1798423077714,838.7723740907484,554.9586303035887,281.576913555292,737.3544487142678,2379.1423258300797
OMDB,4342.77025770545,5648.573067280119,2183.190603769457,14328.390980757462,5238.30373722851,5846.428408163956,6448.573340149029,4842.872064752151,7978.6421393820765,11000.82939708662,11884.360300095565,3027.9011773987722,11735.171711494506,4563.68638327735,11080.592571500489,13675.498953376862,4634.536188630778,0.0,5776.784700011543,4162.586440529364,4471.733222742804,7644.498781549268,3271.3092464029237,6137.549256169119,5918.191105076748,5027.306459147683,4537.025110362885,5147.156165772344,4784.718435844448,5102.345397401615,4463.278821580964,5233.556863398388,6885.950773003389
EGPH,1936.9351306841388,1721.1421621023853,6836.246415386642,8573.011598267407,868.6768639079258,7936.25672217657,9032.685343726816,1032.8584656977316,9254.53199963534,5224.818687727301,9529.814395113926,2830.767342771072,7067.373027293543,1330.3366233869128,5342.430556810266,11358.623493704585,1142.604257606154,5776.784700011543,0.0,1764.554368661314,1705.517234342453,10213.775685686389,2848.2113604641363,1956.1303624433278,337.2039534199319,1927.0385770142573,1717.6968421996937,764.8529460052239,1320.2510546542144,761.9890447440483,1341.4084262122346,736.7464462666057,1366.1622281126076
LDZA,537.5358486485911,1692.5382745319923,5589.209484397878,10270.57949825156,1079.12295434704,7637.516242212898,8670.244773563427,734.44155732098,9373.225157229546,6905.329783235579,9684.845164511811,1135.558870168953,8746.620493868128,435.372805823521,7071.777341214486,11662.142744355435,784.5721209488278,4162.586440529364,1764.554368661314,0.0,1628.0765988832688,8867.258411800965,1084.793589115557,2202.428641890457,1812.1546193462373,2385.7771646126907,1722.928893753889,1028.9384999379752,1551.7236859844388,1008.7302268245519,503.18469523171706,1099.1833149167103,3094.6660800724226
