,LIRF,ZSPD,SBGL,EDDT,EDDF,MMMX,RJAA,ZBAA,LEMD,KJFK,OMDB,VIDP,LFPG,LTFM,SAEZ,EDDM,CYVR,CYYZ,EBBR,LPPT,LDZA,EETN,EGPH,LKPR,FACT,EIDW,LGAV,EFHK,ESSA,EFRO,EHEH,LFQQ,BIKF
OMDB,4342.77025770545,6448.573340149029,11884.360300095565,4634.536188630778,4842.872064752151,14328.390980757462,7978.6421393820765,5846.428408163956,5648.573067280119,11000.82939708662,0.0,2183.190603769457,5238.30373722851,3027.9011773987722,13675.498953376862,4563.68638327735,11735.171711494506,11080.592571500489,5147.156165772344,6137.549256169119,4162.586440529364,4471.733222742804,5776.784700011543,4463.278821580964,7644.498781549268,5918.191105076748,3271.3092464029237,4537.025110362885,4784.718435844448,5027.306459147683,5102.345397401615,5233.556863398388,6885.950773003389
VIDP,5933.755490675376,4292.294164011961,14063.511167522962,5785.915771305621,6121.185112535329,14662.708439597296,5909.250123279566,3811.22316900493,7255.328214906565,11754.94829850792,2183.190603769457,0.0,6565.92854943909,4566.047060442222,15794.490572393017,5899.979912189503,11138.384837166739,11639.223104050201,6399.817544030502,7767.803301105655,5589.209484397878,5200.6264450305825,6836.246415386642,5714.970423703678,9282.845350520629,7074.36258815461,4983.851376266188,5223.847444426262,5583.875141564338,5439.118104243794,6331.400341379829,6501.080434257892,7593.777972803409
LFPG,1103.018721080239,9266.538821703734,9184.123131785209,850.4974971095637,449.00506895345995,9198.923534624388,9709.31227814645,8189.724353071151,1064.514287652328,5833.386425117882,5238.30373722851,6565.92854943909,0.0,2213.88650722904,11100.067083107158,681.5692933331298,7924.983796384183,6018.511701618143,251.42649654422516,1469.9632862919395,1079.12295434704,1837.8392888325443,868.6768639079258,852.6058359792816,9363.399547331674,784.9693369031335,2108.8935232724316,1895.5582344575273,1539.1555178390888,2358.800861619531,337.5067385741307,177.29972762352907,2225.1176543641695
LTFM,1373.0851274414642,8021.792958328303,10271.767959942494,1712.5684114372132,1837.858012568955,11389.29648462006,8980.31098908937,7061.75886204329,2702.2488319417575,8027.011333646928,3027.9011773987722,4566.047060442222,2213.88650722904,0.0,12266.824206187948,1547.9829132915345,9588.351242168645,8171.274964889148,2141.818322400416,3211.7174335800105,1135.558870168953,2037.0282863908224,2830.767342771072,1489.3589955451396,8429.362191332484,2924.4683551417634,552.3631359390542,2134.8799157182702,2177.481833179683,2818.8505107888336,2107.001771303601,2221.5840343980844,4087.246738830808
SAEZ,11152.64657458875,19605.48726466171,1995.428353470573,11933.024922521272,11502.137750607373,7396.77973611544,18297.19994521465,19289.70928642004,10084.891062660701,8534.711892841717,13675.498953376862,15794.490572393017,11100.067083107158,12266.824206187948,0.0,11571.029543749757,11306.011894863244,8985.871186138354,11343.810900959297,9632.30052917482,11662.142744355435,12932.640473630083,11358.623493704585,11830.92337423204,6886.082041979985,11025.405820274522,11725.05562218717,12981.387744901565,12598.548940741373,13282.900559270385,11430.931607617464,11246.712767060582,11460.844970957083
EDDM,732.5545180372009,8778.291229474024,9616.447470619587,479.5750967765883,299.0736493547062,9844.86446381779,9366.60393351221,7721.985707506109,1496.9693797182808,6480.773715334404,4563.68638327735,5899.979912189503,681.5692933331298,1547.9829132915345,11571.029543749757,0.0,8340.059905344417,6639.638079367699,596.828250612871,1983.6079398270863,435.372805823521,1491.5970050572942,1330.3366233869128,264.80111614065527,9179.18835595483,1381.2860601870107,1517.8783303811158,1574.5399279099283,1317.3110466843007,2179.5591456309016,573.3926461914037,673.6101624423094,2669.2628149565803
CYVR,9002.229875705996,9016.027042522252,11212.325649046332,7979.429067098594,8062.180754267541,3944.571933641011,7503.3643827802725,8491.592942617246,8426.398460222947,3929.667087827683,11735.171711494506,11138.384837166739,7924.983796384183,9588.351242168645,11306.011894863244,8340.059905344417,0.0,3346.065262820104,7827.183480204533,8288.503867714651,8746.620493868128,7595.2331088364135,7067.373027293543,8252.779547259795,16465.20953208748,7164.329817709851,9800.56504320369,7505.149627195536,7411.6744673739295,6878.634761429539,7809.899033180775,7804.029472119836,5701.731716788582
CYYZ,7086.091111460242,11414.11558758609,8271.186132408277,6477.895440186134,6342.662219553331,3247.890977992751,10299.375959386833,10560.263711728265,6058.631933989723,587.4088954268707,11080.592571500489,11639.223104050201,6018.511701618143,8171.274964889148,8985.871186138354,6639.638079367699,3346.065262820104,0.0,6043.2341631455665,5739.078245285105,7071.777341214486,6650.662663103135,5342.430556810266,6682.817209516884,13136.631844292497,5259.66456365284,8127.399159836934,6598.71606358994,6311.706893929508,6243.416783834656,6069.742465228985,5973.892370679363,4202.689344520942
EBBR,1175.0465897459446,9024.973770238224,9432.38980302497,633.1798423077714,304.70667836915743,9248.791253224706,9457.890709909856,7945.907748157385,1315.552739483112,5885.3697807968165,5147.156165772344,6399.817544030502,251.42649654422516,2141.818322400416,11343.810900959297,596.828250612871,7827.183480204533,6043.2341631455665,0.0,1717.441913766903,1028.9384999379752,1590.7996147657782,764.8529460052239,696.6701556393344,9538.261583682088,784.4652218415466,2101.487122926399,1646.5424706420476,1287.8123921554281,2109.419990192777,87.26507901126318,104.17464565809286,2128.9170434945413
LPPT,1838.6369514241565,10730.78496714352,7714.979604082941,2302.6857424820937,1873.84706028188,8664.536583495246,11153.913596141403,9657.682879314776,512.8845584370001,5404.309620041176,6137.549256169119,7767.803301105655,1469.9632862919395,3211.7174335800105,9632.30052917482,1983.6079398270863,8288.503867714651,5739.078245285105,1717.441913766903,0.0,2202.428641890457,3307.6755735702613,1956.1303624433278,2228.9079544309607,8579.965571388671,1642.4746695558613,2870.399397724636,3363.876975912895,2998.3052371348076,3783.3341214037023,1804.6765643174188,1624.5352370256298,2942.307926147029
LDZA,537.5358486485911,8670.244773563427,9684.845164511811,784.5721209488278,734.44155732098,10270.57949825156,9373.225157229546,7637.516242212898,1692.5382745319923,6905.329783235579,4162.586440529364,5589.209484397878,1079.12295434704,1135.558870168953,11662.142744355435,435.372805823521,8746.620493868128,7071.777341214486,1028.9384999379752,2202.428641890457,0.0,1628.0765988832688,1764.554368661314,503.18469523171706,8867.258411800965,1812.1546193462373,1084.793589115557,1722.928893753889,1551.7236859844388,2385.7771646126907,1008.7302268245519,1099.1833149167103,3094.6660800724226
EETN,2144.7432662773303,7439.701976930367,11021.75343361116,1043.7146044590377,1467.8755620952131,9887.012309094367,7898.436176812024,6357.094712899396,2883.3149200833927,6649.356410602336,4471.733222742804,5200.6264450305825,1837.8392888325443,2037.0282863908224,12932.640473630083,1491.5970050572942,7595.2331088364135,6650.662663103135,1590.7996147657782,3307.6755735702613,1628.0765988832688,0.0,1705.517234342453,1234.036333291913,10399.864784061421,2002.9192181397093,2389.0689513250063,100.72063567001045,389.62412735087645,795.9448462888196,1503.538739642221,1686.475455041425,2454.7484880957145
EGPH,1936.9351306841388,9032.685343726816,9529.814395113926,1142.604257606154,1032.8584656977316,8573.011598267407,9254.53199963534,7936.25672217657,1721.1421621023853,5224.818687727301,5776.784700011543,6836.246415386642,868.6768639079258,2830.767342771072,11358.623493704585,1330.3366233869128,7067.373027293543,5342.430556810266,764.8529460052239,1956.1303624433278,1764.554368661314,1705.517234342453,0.0,1341.4084262122346,10213.775685686389,337.2039534199319,2848.2113604641363,1717.6968421996937,1320.2510546542144,1927.0385770142573,761.9890447440483,736.7464462666057,1366.1622281126076
LKPR,939.0896343890475,8520.514010353765,9879.080082772547,281.576913555292,406.27801971921986,9907.578033808217,9102.009097801203,7461.550939385754,1750.6615229202562,6550.828678253268,4463.278821580964,5714.970423703678,852.6058359792816,1489.3589955451396,11830.92337423204,264.80111614065527,8252.779547259795,6682.817209516884,696.6701556393344,2228.9079544309607,503.18469523171706,1234.036333291913,1341.4084262122346,0.0,9358.288777530079,1454.9163652752302,1555.754332455913,1319.6263258874899,1086.9490092945773,1942.94896284112,642.0340692834425,793.0800262284977,2628.101221542469
FACT,8447.492147870096,12989.53522682959,6087.871598998781,9635.66209352229,9393.055953949077,13711.343976959879,14780.473523154042,12967.734897763023,8584.107113717999,12560.803274067739,7644.498781549268,9282.845350520629,9363.399547331674,8429.362191332484,6886.082041979985,9179.18835595483,16465.20953208748,13136.631844292497,9538.261583682088,8579.965571388671,8867.258411800965,10399.864784061421,10213.775685686389,9358.288777530079,0.0,10009.776088175524,8014.8303514408435,10500.580656352362,10410.637422820557,11195.351682199891,9586.034315842975,9522.742717702058,11472.045420118653
EIDW,1887.877045473529,9364.445984146492,9192.749867185408,1308.440821698761,1086.8940196113897,8465.097546487645,9590.00408587783,8268.747197889683,1454.225118962622,5102.730002183939,5918.191105076748,7074.36258815461,784.9693369031335,2924.4683551417634,11025.405820274522,1381.2860601870107,7164.329817709851,5259.66456365284,784.4652218415466,1642.4746695558613,1812.1546193462373,2002.9192181397093,337.2039534199319,1454.9163652752302,10009.776088175524,0.0,2875.9209801847924,2023.288540062737,1624.7526881721867,2262.6890021087634,818.4419646564614,715.1697675357511,1486.395041095137
LGAV,1085.5162109803623,8557.446927892031,9730.98460712888,1823.2230335509435,1815.8370182307754,11295.07456624003,9532.669034889863,7607.430542904929,2377.4313326404604,7932.455806289573,3271.3092464029237,4983.851376266188,2108.8935232724316,552.3631359390542,11725.05562218717,1517.8783303811158,9800.56504320369,8127.399159836934,2101.487122926399,2870.399397724636,1084.793589115557,2389.0689513250063,2848.2113604641363,1555.754332455913,8014.8303514408435,2875.9209801847924,0.0,2489.6794411140104,2452.3533525122343,3184.843224387242,2089.016063229445,2161.2853740484825,4176.891888856657
EFHK,2236.527853659462,7393.997300475772,11078.85214073269,1118.8430222369009,1537.9389925099097,9830.89999106367,7828.74735963798,6308.537771925007,2947.4320721225527,6606.914800539541,4537.025110362885,5223.847444426262,1895.5582344575273,2134.8799157182702,12981.387744901565,1574.5399279099283,7505.149627195536,6598.71606358994,1646.5424706420476,3363.876975912895,1722.928893753889,100.72063567001045,1717.6968421996937,1319.6263258874899,10500.580656352362,2023.288540062737,2489.6794411140104,0.0,398.5689357775947,695.2573510545288,1559.3618854820566,1739.9740827336304,2409.583253800543
ESSA,2026.0100284147838,7780.26414951412,10709.342326685113,838.7723740907484,1222.987175365273,9555.32776316363,8170.395509786672,6691.864080722933,2601.3493707511634,6291.593874633475,4784.718435844448,5583.875141564338,1539.1555178390888,2177.481833179683,12598.548940741373,1317.3110466843007,7411.6744673739295,6311.706893929508,1287.8123921554281,2998.3052371348076,1551.7236859844388,389.62412735087645,1320.2510546542144,1086.9490092945773,10410.637422820557,1624.7526881721867,2452.3533525122343,398.5689357775947,0.0,863.3297003586031,1201.790094986564,1375.4704625714714,2109.0743457943413
EFRO,2879.518914006426,7111.796723483437,11451.376242794004,1701.8548750228817,2079.668281738598,9429.19591909452,7370.85294938375,6013.908578937793,3422.0000222935455,6318.434484589655,5027.306459147683,5439.118104243794,2358.800861619531,2818.8505107888336,13282.900559270385,2179.5591456309016,6878.634761429539,6243.416783834656,2109.419990192777,3783.3341214037023,2385.7771646126907,795.9448462888196,1927.0385770142573,1942.94896284112,11195.351682199891,2262.6890021087634,3184.843224387242,695.2573510545288,863.3297003586031,0.0,2026.9394149057935,2186.4196889276245,2177.0499490729367
EHEH,1195.6116672542362,8938.065932826861,9519.607478719365,554.9586303035887,274.34672759363383,9282.302300217629,9372.118080501896,7858.784279958065,1400.4404453661639,5920.872953839785,5102.345397401615,6331.400341379829,337.5067385741307,2107.001771303601,11430.931607617464,573.3926461914037,7809.899033180775,6069.742465228985,87.26507901126318,1804.6765643174188,1008.7302268245519,1503.538739642221,761.9890447440483,642.0340692834425,9586.034315842975,818.4419646564614,2089.016063229445,1559.3618854820566,1201.790094986564,2026.9394149057935,0.0,187.09147772320674,2117.6234281227908
LFQQ,1202.6733084178702,9123.256093925884,9339.141101101264,737.3544487142678,392.7983156454291,9172.519686277623,9543.069153437295,8042.99692176469,1235.5813496072453,5807.873795019511,5233.556863398388,6501.080434257892,177.29972762352907,2221.5840343980844,11246.712767060582,673.6101624423094,7804.029472119836,5973.892370679363,104.17464565809286,1624.5352370256298,1099.1833149167103,1686.475455041425,736.7464462666057,793.0800262284977,9522.742717702058,715.1697675357511,2161.2853740484825,1739.9740827336304,1375.4704625714714,2186.4196889276245,187.09147772320674,0.0,2102.4846976713584
BIKF,3302.877772645817,8956.580903846041,9842.304164811861,2379.1423258300797,2379.55963806095,7447.576134836068,8798.321608971684,7870.884193010363,2888.0069315874402,4197.785190963327,6885.950773003389,7593.777972803409,2225.1176543641695,4087.246738830808,11460.844970957083,2669.2628149565803,5701.731716788582,4202.689344520942,2128.9170434945413,2942.307926147029,3094.6660800724226,2454.7484880957145,1366.1622281126076,2628.101221542469,11472.045420118653,1486.395041095137,4176.891888856657,2409.583253800543,2109.0743457943413,2177.0499490729367,2117.6234281227908,2102.4846976713584,0.0
