,LIMC,OMDB,SAEZ,LEMD,LFPG,VIDP,LTFM,CYYZ,MMMX,EDDT,EDDM,ZSPD,KJFK,EDDF,CYVR,RJAA,SBGL,ZBAA,LPPT,ESSA,EBBR,EHEH,LGAV,EIDW,EETN,LKPR,EFHK,LDZA,LFQQ,FACT,EFRO,EGPH,BIKF
EDDM,382.4534017470018,4563.68638327735,11571.029543749757,1496.9693797182808,681.5692933331298,5899.979912189503,1547.9829132915345,6639.638079367699,9844.86446381779,479.5750967765883,0.0,8778.291229474024,6480.773715334404,299.0736493547062,8340.059905344417,9366.60393351221,9616.447470619587,7721.985707506109,1983.6079398270863,1317.3110466843007,596.828250612871,573.3926461914037,1517.8783303811158,1381.2860601870107,1491.5970050572942,264.80111614065527,1574.5399279099283,435.372805823521,673.6101624423094,9179.18835595483,2179.5591456309016,1330.3366233869128,2669.2628149565803
ZSPD,9145.462921839513,6448.573340149029,19605.48726466171,10270.038168674499,9266.538821703734,4292.294164011961,8021.792958328303,11414.11558758609,12896.888950685934,8428.152127029933,8778.291229474024,0.0,11872.965768605623,8857.834873324387,9016.027042522252,1795.1653470701212,18271.284864397905,1098.8391881220052,10730.78496714352,7780.26414951412,9024.973770238224,8938.065932826861,8557.446927892031,9364.445984146492,7439.701976930367,8520.514010353765,7393.997300475772,8670.244773563427,9123.256093925884,12989.53522682959,7111.796723483437,9032.685343726816,8956.580903846041
KJFK,6411.630216485815,11000.82939708662,8534.711892841717,5762.025471470951,5833.386425117882,11754.94829850792,8027.011333646928,587.4088954268707,3365.6070797424704,6367.419669376641,6480.773715334404,11872.965768605623,0.0,6189.1542734461045,3929.667087827683,10829.468019943439,7729.093708099038,10977.61138682235,5404.309620041176,6291.593874633475,5885.3697807968165,5920.872953839785,7932.455806289573,5102.730002183939,6649.356410602336,6550.828678253268,6606.914800539541,6905.329783235579,5807.873795019511,12560.803274067739,6318.434484589655,5224.818687727301,4197.785190963327
EDDF,490.1396104415254,4842.872064752151,11502.137750607373,1422.050572145159,449.00506895345995,6121.185112535329,1837.858012568955,6342.662219553331,9551.980932636412,431.6826244968808,299.0736493547062,8857.834873324387,6189.1542734461045,0.0,8062.180754267541,9366.014476753255,9568.283601551813,7788.395209245619,1873.84706028188,1222.987175365273,304.70667836915743,274.34672759363383,1815.8370182307754,1086.8940196113897,1467.8755620952131,406.27801971921986,1537.9389925099097,734.44155732098,392.7983156454291,9393.055953949077,2079.668281738598,1032.8584656977316,2379.55963806095
CYVR,8490.289487372997,11735.171711494506,11306.011894863244,8426.398460222947,7924.983796384183,11138.384837166739,9588.351242168645,3346.065262820104,3944.571933641011,7979.429067098594,8340.059905344417,9016.027042522252,3929.667087827683,8062.180754267541,0.0,7503.3643827802725,11212.325649046332,8491.592942617246,8288.503867714651,7411.6744673739295,7827.183480204533,7809.899033180775,9800.56504320369,7164.329817709851,7595.2331088364135,8252.779547259795,7505.149627195536,8746.620493868128,7804.029472119836,16465.20953208748,6878.634761429539,7067.373027293543,5701.731716788582
RJAA,9749.009266937597,7978.6421393820765,18297.19994521465,10771.365389773611,9709.31227814645,5909.250123279566,8980.31098908937,10299.375959386833,11253.545374395047,8941.163890156917,9366.60393351221,1795.1653470701212,10829.468019943439,9366.014476753255,7503.3643827802725,0.0,18531.195791108297,2133.3180240322217,11153.913596141403,8170.395509786672,9457.890709909856,9372.118080501896,9532.669034889863,9590.00408587783,7898.436176812024,9102.009097801203,7828.74735963798,9373.225157229546,9543.069153437295,14780.473523154042,7370.85294938375,9254.53199963534,8798.321608971684
SBGL,9240.443773621446,11884.360300095565,1995.428353470573,8146.258928316377,9184.123131785209,14063.511167522962,10271.767959942494,8271.186132408277,7665.076602134776,9999.899573136834,9616.447470619587,18271.284864397905,7729.093708099038,9568.283601551813,11212.325649046332,18531.195791108297,0.0,17318.624718116444,7714.979604082941,10709.342326685113,9432.38980302497,9519.607478719365,9730.98460712888,9192.749867185408,11021.75343361116,9879.080082772547,11078.85214073269,9684.845164511811,9339.141101101264,6087.871598998781,11451.376242794004,9529.814395113926,9842.304164811861
ZBAA,8094.086522767396,5846.428408163956,19289.70928642004,9206.378510653298,8189.724353071151,3811.22316900493,7061.75886204329,10560.263711728265,12435.185662210233,7357.370941408385,7721.985707506109,1098.8391881220052,10977.61138682235,7788.395209245619,8491.592942617246,2133.3180240322217,17318.624718116444,0.0,9657.682879314776,6691.864080722933,7945.907748157385,7858.784279958065,7607.430542904929,8268.747197889683,6357.094712899396,7461.550939385754,6308.537771925007,7637.516242212898,8042.99692176469,12967.734897763023,6013.908578937793,7936.25672217657,7870.884193010363
LPPT,1650.4062874119006,6137.549256169119,9632.30052917482,512.8845584370001,1469.9632862919395,7767.803301105655,3211.7174335800105,5739.078245285105,8664.536583495246,2302.6857424820937,1983.6079398270863,10730.78496714352,5404.309620041176,1873.84706028188,8288.503867714651,11153.913596141403,7714.979604082941,9657.682879314776,0.0,2998.3052371348076,1717.441913766903,1804.6765643174188,2870.399397724636,1642.4746695558613,3307.6755735702613,2228.9079544309607,3363.876975912895,2202.428641890457,1624.5352370256298,8579.965571388671,3783.3341214037023,1956.1303624433278,2942.307926147029
ESSA,1675.0268443034151,4784.718435844448,12598.548940741373,2601.3493707511634,1539.1555178390888,5583.875141564338,2177.481833179683,6311.706893929508,9555.32776316363,838.7723740907484,1317.3110466843007,7780.26414951412,6291.593874633475,1222.987175365273,7411.6744673739295,8170.395509786672,10709.342326685113,6691.864080722933,2998.3052371348076,0.0,1287.8123921554281,1201.790094986564,2452.3533525122343,1624.7526881721867,389.62412735087645,1086.9490092945773,398.5689357775947,1551.7236859844388,1375.4704625714714,10410.637422820557,863.3297003586031,1320.2510546542144,2109.0743457943413
