,LIMC,ZBAA,MMMX,CYVR,EDDM,LFPG,OMDB,EDDT,LTFM,CYYZ,EDDF,SBGL,LEMD,ZSPD,KJFK,VIDP,RJAA,SAEZ,BIKF,EFHK,EIDW,EBBR,LPPT,LFQQ,EHEH,FACT,LDZA,EETN,EGPH,ESSA,LKPR,EFRO,LGAV
EDDF,490.1396104415254,7788.395209245619,9551.980932636412,8062.180754267541,299.0736493547062,449.00506895345995,4842.872064752151,431.6826244968808,1837.858012568955,6342.662219553331,0.0,9568.283601551813,1422.050572145159,8857.834873324387,6189.1542734461045,6121.185112535329,9366.014476753255,11502.137750607373,2379.55963806095,1537.9389925099097,1086.8940196113897,304.70667836915743,1873.84706028188,392.7983156454291,274.34672759363383,9393.055953949077,734.44155732098,1467.8755620952131,1032.8584656977316,1222.987175365273,406.27801971921986,2079.668281738598,1815.8370182307754
SBGL,9240.443773621446,17318.624718116444,7665.076602134776,11212.325649046332,9616.447470619587,9184.123131785209,11884.360300095565,9999.899573136834,10271.767959942494,8271.186132408277,9568.283601551813,0.0,8146.258928316377,18271.284864397905,7729.093708099038,14063.511167522962,18531.195791108297,1995.428353470573,9842.304164811861,11078.85214073269,9192.749867185408,9432.38980302497,7714.979604082941,9339.141101101264,9519.607478719365,6087.871598998781,9684.845164511811,11021.75343361116,9529.814395113926,10709.342326685113,9879.080082772547,11451.376242794004,9730.98460712888
LEMD,1148.5660668194528,9206.378510653298,9066.890918984103,8426.398460222947,1496.9693797182808,1064.514287652328,5648.573067280119,1853.640992836451,2702.2488319417575,6058.631933989723,1422.050572145159,8146.258928316377,0.0,10270.038168674499,5762.025471470951,7255.328214906565,10771.365389773611,10084.891062660701,2888.0069315874402,2947.4320721225527,1454.225118962622,1315.552739483112,512.8845584370001,1235.5813496072453,1400.4404453661639,8584.107113717999,1692.5382745319923,2883.3149200833927,1721.1421621023853,2601.3493707511634,1750.6615229202562,3422.0000222935455,2377.4313326404604
ZSPD,9145.462921839513,1098.8391881220052,12896.888950685934,9016.027042522252,8778.291229474024,9266.538821703734,6448.573340149029,8428.152127029933,8021.792958328303,11414.11558758609,8857.834873324387,18271.284864397905,10270.038168674499,0.0,11872.965768605623,4292.294164011961,1795.1653470701212,19605.48726466171,8956.580903846041,7393.997300475772,9364.445984146492,9024.973770238224,10730.78496714352,9123.256093925884,8938.065932826861,12989.53522682959,8670.244773563427,7439.701976930367,9032.685343726816,7780.26414951412,8520.514010353765,7111.796723483437,8557.446927892031
KJFK,6411.630216485815,10977.61138682235,3365.6070797424704,3929.667087827683,6480.773715334404,5833.386425117882,11000.82939708662,6367.419669376641,8027.011333646928,587.4088954268707,6189.1542734461045,7729.093708099038,5762.025471470951,11872.965768605623,0.0,11754.94829850792,10829.468019943439,8534.711892841717,4197.785190963327,6606.914800539541,5102.730002183939,5885.3697807968165,5404.309620041176,5807.873795019511,5920.872953839785,12560.803274067739,6905.329783235579,6649.356410602336,5224.818687727301,6291.593874633475,6550.828678253268,6318.434484589655,7932.455806289573
VIDP,6159.502244229665,3811.22316900493,14662.708439597296,11138.384837166739,5899.979912189503,6565.92854943909,2183.190603769457,5785.915771305621,4566.047060442222,11639.223104050201,6121.185112535329,14063.511167522962,7255.328214906565,4292.294164011961,11754.94829850792,0.0,5909.250123279566,15794.490572393017,7593.777972803409,5223.847444426262,7074.36258815461,6399.817544030502,7767.803301105655,6501.080434257892,6331.400341379829,9282.845350520629,5589.209484397878,5200.6264450305825,6836.246415386642,5583.875141564338,5714.970423703678,5439.118104243794,4983.851376266188
RJAA,9749.009266937597,2133.3180240322217,11253.545374395047,7503.3643827802725,9366.60393351221,9709.31227814645,7978.6421393820765,8941.163890156917,8980.31098908937,10299.375959386833,9366.014476753255,18531.195791108297,10771.365389773611,1795.1653470701212,10829.468019943439,5909.250123279566,0.0,18297.19994521465,8798.321608971684,7828.74735963798,9590.00408587783,9457.890709909856,11153.913596141403,9543.069153437295,9372.118080501896,14780.473523154042,9373.225157229546,7898.436176812024,9254.53199963534,8170.395509786672,9102.009097801203,7370.85294938375,9532.669034889863
SAEZ,11200.030488781033,19289.70928642004,7396.77973611544,11306.011894863244,11571.029543749757,11100.067083107158,13675.498953376862,11933.024922521272,12266.824206187948,8985.871186138354,11502.137750607373,1995.428353470573,10084.891062660701,19605.48726466171,8534.711892841717,15794.490572393017,18297.19994521465,0.0,11460.844970957083,12981.387744901565,11025.405820274522,11343.810900959297,9632.30052917482,11246.712767060582,11430.931607617464,6886.082041979985,11662.142744355435,12932.640473630083,11358.623493704585,12598.548940741373,11830.92337423204,13282.900559270385,11725.05562218717
BIKF,2789.8815830930635,7870.884193010363,7447.576134836068,5701.731716788582,2669.2628149565803,2225.1176543641695,6885.950773003389,2379.1423258300797,4087.246738830808,4202.689344520942,2379.55963806095,9842.304164811861,2888.0069315874402,8956.580903846041,4197.785190963327,7593.777972803409,8798.321608971684,11460.844970957083,0.0,2409.583253800543,1486.395041095137,2128.9170434945413,2942.307926147029,2102.4846976713584,2117.6234281227908,11472.045420118653,3094.6660800724226,2454.7484880957145,1366.1622281126076,2109.0743457943413,2628.101221542469,2177.0499490729367,4176.891888856657
EFHK,1951.0929540754787,6308.537771925007,9830.89999106367,7505.149627195536,1574.5399279099283,1895.5582344575273,4537.025110362885,1118.8430222369009,2134.8799157182702,6598.71606358994,1537.9389925099097,11078.85214073269,2947.4320721225527,7393.997300475772,6606.914800539541,5223.847444426262,7828.74735963798,12981.387744901565,2409.583253800543,0.0,2023.288540062737,1646.5424706420476,3363.876975912895,1739.9740827336304,1559.3618854820566,10500.580656352362,1722.928893753889,100.72063567001045,1717.6968421996937,398.5689357775947,1319.6263258874899,695.2573510545288,2489.6794411140104
EIDW,1381.192654254011,8268.747197889683,8465.097546487645,7164.329817709851,1381.2860601870107,784.9693369031335,5918.191105076748,1308.440821698761,2924.4683551417634,5259.66456365284,1086.8940196113897,9192.749867185408,1454.225118962622,9364.445984146492,5102.730002183939,7074.36258815461,9590.00408587783,11025.405820274522,1486.395041095137,2023.288540062737,0.0,784.4652218415466,1642.4746695558613,715.1697675357511,818.4419646564614,10009.776088175524,1812.1546193462373,2002.9192181397093,337.2039534199319,1624.7526881721867,1454.9163652752302,2262.6890021087634,2875.9209801847924
EBBR,664.3952506566018,7945.907748157385,9248.791253224706,7827.183480204533,596.828250612871,251.42649654422516,5147.156165772344,633.1798423077714,2141.818322400416,6043.2341631455665,304.70667836915743,9432.38980302497,1315.552739483112,9024.973770238224,5885.3697807968165,6399.817544030502,9457.890709909856,11343.810900959297,2128.9170434945413,1646.5424706420476,784.4652218415466,0.0,1717.441913766903,104.17464565809286,87.26507901126318,9538.261583682088,1028.9384999379752,1590.7996147657782,764.8529460052239,1287.8123921554281,696.6701556393344,2109.419990192777,2101.487122926399
LPPT,1650.4062874119006,9657.682879314776,8664.536583495246,8288.503867714651,1983.6079398270863,1469.9632862919395,6137.549256169119,2302.6857424820937,3211.7174335800105,5739.078245285105,1873.84706028188,7714.979604082941,512.8845584370001,10730.78496714352,5404.309620041176,7767.803301105655,11153.913596141403,9632.30052917482,2942.307926147029,3363.876975912895,1642.4746695558613,1717.441913766903,0.0,1624.5352370256298,1804.6765643174188,8579.965571388671,2202.428641890457,3307.6755735702613,1956.1303624433278,2998.3052371348076,2228.9079544309607,3783.3341214037023,2870.399397724636
